nombre_torneo,nombre_especialidad,nombre_deportista,intento,marca,posicion
Torneo de Afghanistan,salto largo,Ese BRUME,3,950,3
Torneo de Afghanistan,salto triple,Yosiris URRUTIA,7,1996,1
Torneo de Afghanistan,salto triple,Yulimar ROJAS,2,1995,2
Torneo de Afghanistan,salto triple,Kimberly WILLIAMS,8,1988,3
Torneo de Albania,carrera 100 m,Zharnel HUGHES,1,9784,1
Torneo de Albania,carrera 100 m,Mujinga KAMBUNDJI,1,9798,2
Torneo de Albania,carrera 100 m,Kayla WHITE,1,9826,3
Torneo de Albania,carrera 10000 m,Mogos TUEMAY,1,1611543,1
Torneo de Albania,carrera 10000 m,Gete ALEMAYEHU,1,1622164,2
Torneo de Albania,carrera 10000 m,Senbere TEFERI,1,1622963,3
Torneo de Albania,carrera 110 m con vallas,Freddie CRITTENDEN,1,12121,1
Torneo de Albania,carrera 110 m con vallas,Janeek BROWN,1,12126,2
Torneo de Albania,carrera 110 m con vallas,Anna COCKRELL,1,12151,3
Torneo de Albania,carrera 1500 m,George Meitamei MANANGOI,1,208809,1
Torneo de Albania,carrera 1500 m,Konstanze KLOSTERHALFEN,1,208925,2
Torneo de Albania,carrera 1500 m,Gabriela DEBUES-STAFFORD,1,209083,3
Torneo de Albania,carrera 200 m,Brittany BROWN,1,19531,1
Torneo de Albania,carrera 200 m,Joseph Paul AMOAH,1,19564,2
Torneo de Albania,carrera 200 m,Adam GEMILI,1,19611,3
Torneo de Albania,carrera 21000 m,Evaline CHIRCHIR,1,3482221,1
Torneo de Albania,carrera 21000 m,Alemu MEGERTU,1,3490905,2
Torneo de Albania,carrera 21000 m,Morris Munene GACHAGA,1,3494535,3
Torneo de Albania,carrera 3000 m con vallas,Mercy WANJIRU,1,481820,1
Torneo de Albania,carrera 3000 m con vallas,Fernando CARRO,1,483182,2
Torneo de Albania,carrera 3000 m con vallas,Gesa Felicitas KRAUSE,1,483960,3
Torneo de Albania,carrera 400 m,Galefele MOROKO,1,43507,1
Torneo de Albania,carrera 400 m,Emmanuel Kipkurui KORIR,1,43600,2
Torneo de Albania,carrera 400 m,Salwa Eid NASER,1,43735,3
Torneo de Albania,carrera 400 m con vallas,Alison DOS SANTOS,1,46100,1
Torneo de Albania,carrera 400 m con vallas,Kemar MOWATT,1,46135,2
Torneo de Albania,carrera 400 m con vallas,Aminat JAMAL,1,46272,3
Torneo de Albania,carrera 42000 m,Ababel YESHANEH,1,7304941,1
Torneo de Albania,carrera 42000 m,Eliud KIPCHOGE,1,7306906,2
Torneo de Albania,carrera 42000 m,Reuben Kiprop KIPYEGO,1,7308165,3
Torneo de Albania,carrera 5000 m,Sifan HASSAN,1,776339,1
Torneo de Albania,carrera 5000 m,Jakob INGEBRIGTSEN,1,778039,2
Torneo de Albania,carrera 5000 m,Hawi FEYSA,1,778925,3
Torneo de Albania,carrera 800 m,Collins KIPRUTO,1,101978,1
Torneo de Albania,carrera 800 m,Marco AROP,1,102189,2
Torneo de Albania,carrera 800 m,Ajee WILSON,1,102260,3
Torneo de Albania,lanzamiento de bala,Christina SCHWANITZ,8,2512,1
Torneo de Albania,lanzamiento de bala,Fanny ROOS,6,2510,2
Torneo de Albania,lanzamiento de bala,Michał HARATYK,10,2493,3
Torneo de Albania,lanzamiento de disco,Nadine MÜLLER,6,7903,1
Torneo de Albania,lanzamiento de disco,Xinyue SU,7,7803,2
Torneo de Albania,lanzamiento de disco,Fedrick DACRES,7,7795,3
Torneo de Albania,lanzamiento de jabalina,Lina MUZE,3,9963,1
Torneo de Albania,lanzamiento de jabalina,Oliver HELANDER,6,9948,2
Torneo de Albania,lanzamiento de jabalina,Kara WINGER,7,9943,3
Torneo de Albania,lanzamiento de martillo,Janee KASSANAVOID,4,8975,1
Torneo de Albania,lanzamiento de martillo,Janeah STEWART,9,8967,2
Torneo de Albania,lanzamiento de martillo,Rudy WINKLER,7,8920,3
Torneo de Albania,salto con pertiga,Sandi MORRIS,9,667,1
Torneo de Albania,salto con pertiga,Sondre GUTTORMSEN,8,667,2
Torneo de Albania,salto con pertiga,Paweł WOJCIECHOWSKI,4,664,3
Torneo de Albania,salto de altura,Mateusz PRZYBYLKO,10,261,1
Torneo de Albania,salto de altura,Nafissatou THIAM,1,260,2
Torneo de Albania,salto de altura,Jeron ROBINSON,10,260,3
Torneo de Albania,salto largo,Darya KLISHINA,8,956,1
Torneo de Albania,salto largo,Shara PROCTOR,3,956,2
Torneo de Albania,salto largo,Nafissatou THIAM,2,954,3
Torneo de Albania,salto triple,Benjamin WILLIAMS,5,1983,1
Torneo de Albania,salto triple,Nelson ÉVORA,5,1982,2
Torneo de Albania,salto triple,Hugues Fabrice ZANGO,9,1978,3
Torneo de Algeria,carrera 100 m,Kayla WHITE,1,9765,1
Torneo de Algeria,carrera 100 m,Noah LYLES,1,9774,2
Torneo de Algeria,carrera 100 m,Shelly-Ann FRASER-PRYCE,1,9797,3
Torneo de Algeria,carrera 10000 m,Susan KRUMINS,1,1615721,1
Torneo de Algeria,carrera 10000 m,Girmawit GEBRZIHAIR,1,1624962,2
Torneo de Algeria,carrera 10000 m,Tsigie GEBRESELAMA,1,1626863,3
Torneo de Algeria,carrera 110 m con vallas,Andrea Carolina VARGAS,1,12139,1
Torneo de Algeria,carrera 110 m con vallas,Brianna MCNEAL,1,12208,2
Torneo de Algeria,carrera 110 m con vallas,Payton CHADWICK,1,12210,3
Torneo de Algeria,carrera 1500 m,Sarah MCDONALD,1,209644,1
Torneo de Algeria,carrera 1500 m,Genzebe DIBABA,1,210209,2
Torneo de Algeria,carrera 1500 m,Sifan HASSAN,1,210593,3
Torneo de Algeria,carrera 200 m,Cambrea STURGIS,1,19506,1
Torneo de Algeria,carrera 200 m,Anglerne ANNELUS,1,19514,2
Torneo de Algeria,carrera 200 m,Christian COLEMAN,1,19549,3
Torneo de Algeria,carrera 21000 m,Berehanu TSEGU,1,3486633,1
Torneo de Algeria,carrera 21000 m,Joan Chelimo MELLY,1,3489044,2
Torneo de Algeria,carrera 21000 m,Caroline Chepkoech KIPKIRUI,1,3518457,3
Torneo de Algeria,carrera 3000 m con vallas,Fernando CARRO,1,482550,1
Torneo de Algeria,carrera 3000 m con vallas,Gesa Felicitas KRAUSE,1,484110,2
Torneo de Algeria,carrera 3000 m con vallas,Emma COBURN,1,485103,3
Torneo de Algeria,carrera 400 m,Salwa Eid NASER,1,43623,1
Torneo de Algeria,carrera 400 m,Fred KERLEY,1,43663,2
Torneo de Algeria,carrera 400 m,Kahmari MONTGOMERY,1,43684,3
Torneo de Algeria,carrera 400 m con vallas,Amalie IUEL,1,46187,1
Torneo de Algeria,carrera 400 m con vallas,Karsten WARHOLM,1,46284,2
Torneo de Algeria,carrera 400 m con vallas,Yasmani COPELLO,1,46330,3
Torneo de Algeria,carrera 42000 m,Titus EKIRU,1,7305432,1
Torneo de Algeria,carrera 42000 m,Emmanuel SAINA,1,7308105,2
Torneo de Algeria,carrera 42000 m,Getaneh MOLLA,1,7329868,3
Torneo de Algeria,carrera 5000 m,Letesenbet GIDEY,1,772303,1
Torneo de Algeria,carrera 5000 m,Gloriah KITE,1,772318,2
Torneo de Algeria,carrera 5000 m,Tsehay GEMECHU,1,774122,3
Torneo de Algeria,carrera 800 m,Raevyn ROGERS,1,102499,1
Torneo de Algeria,carrera 800 m,Emmanuel Kipkurui KORIR,1,102719,2
Torneo de Algeria,carrera 800 m,Jackline WAMBUI,1,102820,3
Torneo de Algeria,lanzamiento de bala,Alyona GORDEYEVA,7,2518,1
Torneo de Algeria,lanzamiento de bala,Lijiao GONG,10,2515,2
Torneo de Algeria,lanzamiento de bala,Michał HARATYK,9,2512,3
Torneo de Algeria,lanzamiento de disco,Xinyue SU,2,7902,1
Torneo de Algeria,lanzamiento de disco,Alin Alexandru FIRFIRICA,10,7895,2
Torneo de Algeria,lanzamiento de disco,Alex ROSE,3,7880,3
Torneo de Algeria,lanzamiento de jabalina,Eda TUĞSUZ,9,9947,1
Torneo de Algeria,lanzamiento de jabalina,Marcin KRUKOWSKI,4,9882,2
Torneo de Algeria,lanzamiento de jabalina,Julian WEBER,1,9860,3
Torneo de Algeria,lanzamiento de martillo,Hanna SKYDAN,10,8986,1
Torneo de Algeria,lanzamiento de martillo,Serhiy PEREVOZNIKOV,8,8970,2
Torneo de Algeria,lanzamiento de martillo,Serhiy REHEDA,1,8954,3
Torneo de Algeria,salto con pertiga,Michaela MEIJER,9,666,1
Torneo de Algeria,salto con pertiga,Robeilys PEINADO,3,665,2
Torneo de Algeria,salto con pertiga,Sam KENDRICKS,2,665,3
Torneo de Algeria,salto de altura,Yaroslava MAHUCHIKH,8,261,1
Torneo de Algeria,salto de altura,Yuliya LEVCHENKO,4,261,2
Torneo de Algeria,salto de altura,Hamish KERR,10,261,3
Torneo de Algeria,salto largo,Hibiki TSUHA,7,955,1
Torneo de Algeria,salto largo,Shoutarou SHIROYAMA,9,952,2
Torneo de Algeria,salto largo,Katarina JOHNSON-THOMPSON,7,950,3
Torneo de Algeria,salto triple,Christian TAYLOR,6,1994,1
Torneo de Algeria,salto triple,Kimberly WILLIAMS,4,1994,2
Torneo de Algeria,salto triple,Yekaterina KONEVA,6,1983,3
Torneo de Andorra,carrera 100 m,Briana WILLIAMS,1,9765,1
Torneo de Andorra,carrera 100 m,Arthur CISSÉ,1,9815,2
Torneo de Andorra,carrera 100 m,Marie-Josée TA LOU,1,9839,3
Torneo de Andorra,carrera 10000 m,Andamlak BELIHU,1,1614474,1
Torneo de Andorra,carrera 10000 m,Mohammed AHMED,1,1628593,2
Torneo de Andorra,carrera 10000 m,Lopez LOMONG,1,1629051,3
Torneo de Andorra,carrera 110 m con vallas,Britany ANDERSON,1,12112,1
Torneo de Andorra,carrera 110 m con vallas,Antonio ALKANA,1,12121,2
Torneo de Andorra,carrera 110 m con vallas,Anna COCKRELL,1,12168,3
Torneo de Andorra,carrera 1500 m,Shannon OSIKA,1,209804,1
Torneo de Andorra,carrera 1500 m,Timothy CHERUIYOT,1,210655,2
Torneo de Andorra,carrera 1500 m,Sifan HASSAN,1,210951,3
Torneo de Andorra,carrera 200 m,Anglerne ANNELUS,1,19596,1
Torneo de Andorra,carrera 200 m,Andrew HUDSON,1,19646,2
Torneo de Andorra,carrera 200 m,Alex QUIÑÓNEZ,1,19716,3
Torneo de Andorra,carrera 21000 m,Joan Chelimo MELLY,1,3483773,1
Torneo de Andorra,carrera 21000 m,Caroline Chepkoech KIPKIRUI,1,3493460,2
Torneo de Andorra,carrera 21000 m,Edwin KIPTOO,1,3494260,3
Torneo de Andorra,carrera 3000 m con vallas,Karoline Bjerkeli GRØVDAL,1,481710,1
Torneo de Andorra,carrera 3000 m con vallas,Abraham KIBIWOT,1,482176,2
Torneo de Andorra,carrera 3000 m con vallas,Leonard Kipkemoi BETT,1,484047,3
Torneo de Andorra,carrera 400 m,Steven GARDINER,1,43453,1
Torneo de Andorra,carrera 400 m,Sydney MCLAUGHLIN,1,44026,2
Torneo de Andorra,carrera 400 m,​Demish GAYE,1,44254,3
Torneo de Andorra,carrera 400 m con vallas,Dharun AYYASAMY,1,46175,1
Torneo de Andorra,carrera 400 m con vallas,Shamier LITTLE,1,46193,2
Torneo de Andorra,carrera 400 m con vallas,Ashley SPENCER,1,46207,3
Torneo de Andorra,carrera 42000 m,Degitu AZIMERAW,1,7313386,1
Torneo de Andorra,carrera 42000 m,Lonah Chemtai SALPETER,1,7337368,2
Torneo de Andorra,carrera 42000 m,Kaan Kigen ÖZBILEN,1,7341663,3
Torneo de Andorra,carrera 5000 m,Nicholas Kipkorir KIMELI,1,772709,1
Torneo de Andorra,carrera 5000 m,Eilish MCCOLGAN,1,772871,2
Torneo de Andorra,carrera 5000 m,Gloriah KITE,1,777820,3
Torneo de Andorra,carrera 800 m,Wesley VÁZQUEZ,1,102602,1
Torneo de Andorra,carrera 800 m,Timothy CHERUIYOT,1,102672,2
Torneo de Andorra,carrera 800 m,Eunice Jepkoech SUM,1,102680,3
Torneo de Andorra,lanzamiento de bala,Payton OTTERDAHL,8,2509,1
Torneo de Andorra,lanzamiento de bala,Brittany CREW,9,2508,2
Torneo de Andorra,lanzamiento de bala,Dimitriana SURDU,7,2504,3
Torneo de Andorra,lanzamiento de disco,Fernanda MARTINS,9,7892,1
Torneo de Andorra,lanzamiento de disco,Andressa DE MORAIS,3,7856,2
Torneo de Andorra,lanzamiento de disco,Alex ROSE,10,7831,3
Torneo de Andorra,lanzamiento de jabalina,Martina RATEJ,7,9968,1
Torneo de Andorra,lanzamiento de jabalina,Kim AMB,5,9944,2
Torneo de Andorra,lanzamiento de jabalina,Barbora ŠPOTÁKOVÁ,8,9901,3
Torneo de Andorra,lanzamiento de martillo,Alexandra TAVERNIER,10,8884,1
Torneo de Andorra,lanzamiento de martillo,Na LUO,7,8869,2
Torneo de Andorra,lanzamiento de martillo,Wojciech NOWICKI,7,8864,3
Torneo de Andorra,salto con pertiga,Raphael HOLZDEPPE,6,666,1
Torneo de Andorra,salto con pertiga,Kc LIGHTFOOT,5,666,2
Torneo de Andorra,salto con pertiga,Huiqin XU,9,665,3
Torneo de Andorra,salto de altura,Dzmitry NABOKAU,8,261,1
Torneo de Andorra,salto de altura,Katarina JOHNSON-THOMPSON,9,260,2
Torneo de Andorra,salto de altura,Luis Enrique ZAYAS,2,260,3
Torneo de Andorra,salto largo,Tajay GAYLE,9,954,1
Torneo de Andorra,salto largo,Shara PROCTOR,9,953,2
Torneo de Andorra,salto largo,Ivana ŠPANOVIĆ,8,952,3
Torneo de Andorra,salto triple,Diana ZAGAINOVA,10,1995,1
Torneo de Andorra,salto triple,Yaoqing FANG,2,1993,2
Torneo de Andorra,salto triple,Yosiris URRUTIA,10,1986,3
Torneo de Angola,carrera 100 m,Tyquendo TRACEY,1,9794,1
Torneo de Angola,carrera 100 m,Shelly-Ann FRASER-PRYCE,1,9799,2
Torneo de Angola,carrera 100 m,Tebogo MAMATHU,1,9808,3
Torneo de Angola,carrera 10000 m,Lopez LOMONG,1,1609290,1
Torneo de Angola,carrera 10000 m,Yomif KEJELCHA,1,1611398,2
Torneo de Angola,carrera 10000 m,Hagos GEBRHIWET,1,1612402,3
Torneo de Angola,carrera 110 m con vallas,Janeek BROWN,1,12160,1
Torneo de Angola,carrera 110 m con vallas,Kendell WILLIAMS,1,12212,2
Torneo de Angola,carrera 110 m con vallas,Freddie CRITTENDEN,1,12239,3
Torneo de Angola,carrera 1500 m,Stewart MCSWEYN,1,209913,1
Torneo de Angola,carrera 1500 m,Josh KERR,1,210377,2
Torneo de Angola,carrera 1500 m,Eilish MCCOLGAN,1,210825,3
Torneo de Angola,carrera 200 m,Abdul Hakim SANI BROWN,1,19578,1
Torneo de Angola,carrera 200 m,Miguel FRANCIS,1,19802,2
Torneo de Angola,carrera 200 m,Dafne SCHIPPERS,1,19806,3
Torneo de Angola,carrera 21000 m,Zeineba YIMER,1,3481924,1
Torneo de Angola,carrera 21000 m,Leonard LANGAT,1,3487272,2
Torneo de Angola,carrera 21000 m,Leonard BARSOTON,1,3493675,3
Torneo de Angola,carrera 3000 m con vallas,Norah JERUTO,1,481577,1
Torneo de Angola,carrera 3000 m con vallas,Emma COBURN,1,481615,2
Torneo de Angola,carrera 3000 m con vallas,Takele NIGATE,1,488043,3
Torneo de Angola,carrera 400 m,Wilbert LONDON,1,43513,1
Torneo de Angola,carrera 400 m,Michael NORMAN,1,43697,2
Torneo de Angola,carrera 400 m,Steven GARDINER,1,43836,3
Torneo de Angola,carrera 400 m con vallas,Ashley SPENCER,1,46766,1
Torneo de Angola,carrera 400 m con vallas,Tia-Adana BELLE,1,46779,2
Torneo de Angola,carrera 400 m con vallas,Zuzana HEJNOVÁ,1,46924,3
Torneo de Angola,carrera 42000 m,Marius KIPSEREM,1,7326303,1
Torneo de Angola,carrera 42000 m,Philemon RONO,1,7347024,2
Torneo de Angola,carrera 42000 m,Zeineba YIMER,1,7368670,3
Torneo de Angola,carrera 5000 m,Birhanu BALEW,1,772180,1
Torneo de Angola,carrera 5000 m,Beatrice CHEBET,1,772188,2
Torneo de Angola,carrera 5000 m,William KINCAID,1,773111,3
Torneo de Angola,carrera 800 m,Ajee WILSON,1,101983,1
Torneo de Angola,carrera 800 m,Marco AROP,1,102023,2
Torneo de Angola,carrera 800 m,Hanna GREEN,1,102065,3
Torneo de Angola,lanzamiento de bala,Michał HARATYK,5,2513,1
Torneo de Angola,lanzamiento de bala,Konrad BUKOWIECKI,8,2503,2
Torneo de Angola,lanzamiento de bala,Daniella HILL,7,2501,3
Torneo de Angola,lanzamiento de disco,Fernanda MARTINS,3,7899,1
Torneo de Angola,lanzamiento de disco,Traves SMIKLE,7,7888,2
Torneo de Angola,lanzamiento de disco,Fedrick DACRES,1,7884,3
Torneo de Angola,lanzamiento de jabalina,Kim AMB,2,9838,1
Torneo de Angola,lanzamiento de jabalina,Edis MATUSEVIČIUS,7,9818,2
Torneo de Angola,lanzamiento de jabalina,Bernhard SEIFERT,4,9814,3
Torneo de Angola,lanzamiento de martillo,Conor MCCULLOUGH,6,8987,1
Torneo de Angola,lanzamiento de martillo,Zalina PETRIVSKAYA,5,8973,2
Torneo de Angola,lanzamiento de martillo,Janee KASSANAVOID,9,8966,3
Torneo de Angola,salto con pertiga,Ling LI,1,666,1
Torneo de Angola,salto con pertiga,Michaela MEIJER,3,664,2
Torneo de Angola,salto con pertiga,Kc LIGHTFOOT,5,663,3
Torneo de Angola,salto de altura,Nafissatou THIAM,8,261,1
Torneo de Angola,salto de altura,Majd Eddin GHAZAL,2,261,2
Torneo de Angola,salto de altura,Svetlana RADZIVIL,7,260,3
Torneo de Angola,salto largo,Nafissatou THIAM,7,956,1
Torneo de Angola,salto largo,Yelena SOKOLOVA,5,950,2
Torneo de Angola,salto largo,Darya KLISHINA,4,950,3
Torneo de Angola,salto triple,Caterine IBARGUEN,7,1995,1
Torneo de Angola,salto triple,Yulimar ROJAS,9,1994,2
Torneo de Angola,salto triple,Christian TAYLOR,4,1982,3
Torneo de Antigua and Barbuda,carrera 100 m,Carina HORN,1,9779,1
Torneo de Antigua and Barbuda,carrera 100 m,Twanisha TERRY,1,9823,2
Torneo de Antigua and Barbuda,carrera 100 m,Marie-Josée TA LOU,1,9846,3
Torneo de Antigua and Barbuda,carrera 10000 m,Julien WANDERS,1,1611361,1
Torneo de Antigua and Barbuda,carrera 10000 m,Susan KRUMINS,1,1612236,2
Torneo de Antigua and Barbuda,carrera 10000 m,Letesenbet GIDEY,1,1618838,3
Torneo de Antigua and Barbuda,carrera 110 m con vallas,Britany ANDERSON,1,12105,1
Torneo de Antigua and Barbuda,carrera 110 m con vallas,Nadine VISSER,1,12158,2
Torneo de Antigua and Barbuda,carrera 110 m con vallas,Kendell WILLIAMS,1,12245,3
Torneo de Antigua and Barbuda,carrera 1500 m,Genzebe DIBABA,1,208883,1
Torneo de Antigua and Barbuda,carrera 1500 m,Vincent KIBET,1,209105,2
Torneo de Antigua and Barbuda,carrera 1500 m,Ayanleh SOULEIMAN,1,210070,3
Torneo de Antigua and Barbuda,carrera 200 m,Elaine THOMPSON,1,19503,1
Torneo de Antigua and Barbuda,carrera 200 m,Blessing OKAGBARE,1,19512,2
Torneo de Antigua and Barbuda,carrera 200 m,Ivet LALOVA-COLLIO,1,19523,3
Torneo de Antigua and Barbuda,carrera 21000 m,Lonah Chemtai SALPETER,1,3482724,1
Torneo de Antigua and Barbuda,carrera 21000 m,Dorcas Jepchirchir TUITOEK,1,3484933,2
Torneo de Antigua and Barbuda,carrera 21000 m,Kibiwott KANDIE,1,3490007,3
Torneo de Antigua and Barbuda,carrera 3000 m con vallas,Colleen QUIGLEY,1,481611,1
Torneo de Antigua and Barbuda,carrera 3000 m con vallas,Karoline Bjerkeli GRØVDAL,1,484938,2
Torneo de Antigua and Barbuda,carrera 3000 m con vallas,Emma COBURN,1,488331,3
Torneo de Antigua and Barbuda,carrera 400 m,Kirani JAMES,1,43532,1
Torneo de Antigua and Barbuda,carrera 400 m,Shericka JACKSON,1,43574,2
Torneo de Antigua and Barbuda,carrera 400 m,Nathan STROTHER,1,43595,3
Torneo de Antigua and Barbuda,carrera 400 m con vallas,Ashley SPENCER,1,46139,1
Torneo de Antigua and Barbuda,carrera 400 m con vallas,Lindsay HANEKOM,1,46301,2
Torneo de Antigua and Barbuda,carrera 400 m con vallas,Alison DOS SANTOS,1,46322,3
Torneo de Antigua and Barbuda,carrera 42000 m,Herpasa NEGASA,1,7353785,1
Torneo de Antigua and Barbuda,carrera 42000 m,Azmera ABREHA,1,7354396,2
Torneo de Antigua and Barbuda,carrera 42000 m,Kaan Kigen ÖZBILEN,1,7358880,3
Torneo de Antigua and Barbuda,carrera 5000 m,Abadi HADIS,1,774355,1
Torneo de Antigua and Barbuda,carrera 5000 m,Solomon BERIHU,1,775200,2
Torneo de Antigua and Barbuda,carrera 5000 m,Selemon BAREGA,1,776163,3
Torneo de Antigua and Barbuda,carrera 800 m,Bryce HOPPEL,1,102308,1
Torneo de Antigua and Barbuda,carrera 800 m,Raevyn ROGERS,1,102466,2
Torneo de Antigua and Barbuda,carrera 800 m,Michael SARUNI,1,102996,3
Torneo de Antigua and Barbuda,lanzamiento de bala,Tomáš STANĚK,8,2520,1
Torneo de Antigua and Barbuda,lanzamiento de bala,Darrell HILL,9,2517,2
Torneo de Antigua and Barbuda,lanzamiento de bala,Danniel THOMAS-DODD,7,2513,3
Torneo de Antigua and Barbuda,lanzamiento de disco,Alin Alexandru FIRFIRICA,9,7897,1
Torneo de Antigua and Barbuda,lanzamiento de disco,Simon PETTERSSON,3,7893,2
Torneo de Antigua and Barbuda,lanzamiento de disco,Whitney ASHLEY,9,7883,3
Torneo de Antigua and Barbuda,lanzamiento de jabalina,Martina RATEJ,5,9968,1
Torneo de Antigua and Barbuda,lanzamiento de jabalina,Marcin KRUKOWSKI,4,9943,2
Torneo de Antigua and Barbuda,lanzamiento de jabalina,Johannes VETTER,5,9929,3
Torneo de Antigua and Barbuda,lanzamiento de martillo,Janeah STEWART,6,8975,1
Torneo de Antigua and Barbuda,lanzamiento de martillo,Serghei MARGHIEV,1,8931,2
Torneo de Antigua and Barbuda,lanzamiento de martillo,DeAnna PRICE,4,8928,3
Torneo de Antigua and Barbuda,salto con pertiga,Armand DUPLANTIS,1,666,1
Torneo de Antigua and Barbuda,salto con pertiga,Kurtis MARSCHALL,1,665,2
Torneo de Antigua and Barbuda,salto con pertiga,Eliza MCCARTNEY,1,665,3
Torneo de Antigua and Barbuda,salto de altura,Yaroslava MAHUCHIKH,3,261,1
Torneo de Antigua and Barbuda,salto de altura,Kamila LIĆWINKO,4,260,2
Torneo de Antigua and Barbuda,salto de altura,Mirela DEMIREVA,2,260,3
Torneo de Antigua and Barbuda,salto largo,Ruswahl SAMAAI,9,956,1
Torneo de Antigua and Barbuda,salto largo,Tori BOWIE,8,955,2
Torneo de Antigua and Barbuda,salto largo,Chantel MALONE,1,952,3
Torneo de Antigua and Barbuda,salto triple,Diana ZAGAINOVA,4,1996,1
Torneo de Antigua and Barbuda,salto triple,Benjamin WILLIAMS,10,1996,2
Torneo de Antigua and Barbuda,salto triple,Jordan Alejandro DÍAZ FORTUN,9,1994,3
