nombre_deportista,nombre_especialidad,nombre_torneo_peor,intento_peor,marca_peor,nombre_torneo_mejor,intento_mejor,marca_mejor
Kelsey-Lee BARBER,lanzamiento de jabalina,Torneo de Netherlands,3,9066.0,Torneo de Mexico,7,9963.0
Yomif KEJELCHA,carrera 10000 m,Torneo de United States,1,1768131.0,Torneo de Seychelles,1,1608123.0
Nafissatou THIAM,salto largo,Torneo de Barbados,1,869.0,Torneo de Angola,7,956.0
Stanley Kipkoech KEBENEI,carrera 3000 m con vallas,Torneo de Vatican City,1,529060.0,Torneo de Ghana,1,481207.0
Andriy PROTSENKO,salto de altura,Torneo de Cameroon,8,237.0,Torneo de Uganda,9,261.0
Ajee WILSON,carrera 800 m,Torneo de Japan,1,112078.0,Torneo de Angola,1,101983.0
Leonard BARSOTON,carrera 21000 m,Torneo de Guatemala,1,3827516.0,Torneo de Papua New Guinea,1,3484102.0
Beatrice CHEPKOECH,carrera 5000 m,Torneo de Dominican Republic,1,848797.0,Torneo de Ghana,1,772231.0
Johannes VETTER,lanzamiento de jabalina,Torneo de Portugal,9,9063.0,Torneo de Maldives,8,9967.0
Christian TAYLOR,salto triple,Torneo de Oman,6,1815.0,Torneo de Slovenia,2,1994.0
Lukas WEISSHAIDINGER,lanzamiento de disco,Torneo de Marshall Islands,5,7188.0,Torneo de Ivory Coast,10,7894.0
Shelby HOULIHAN,carrera 1500 m,Torneo de Uganda,1,229598.0,Torneo de Madagascar,1,208773.0
Dibabe KUMA,carrera 21000 m,Torneo de Moldova,1,3825513.0,Torneo de Pakistan,1,3481578.0
Berehanu TSEGU,carrera 21000 m,Torneo de Finland,1,3828021.0,Torneo de Sri Lanka,1,3481292.0
Megan TAPPER,carrera 110 m con vallas,Torneo de Wales,1,13302.0,Torneo de Saint Lucia,1,12115.0
Stanley Waithaka MBURU,carrera 5000 m,Torneo de Colombia,1,849028.0,Torneo de Iceland,1,772521.0
Hugues Fabrice ZANGO,salto triple,Torneo de Benin,5,1816.0,Torneo de Ukraine,1,1994.0
Rachel FATHERLY,lanzamiento de bala,Torneo de Botswana,9,2291.0,Torneo de Congo Republic of the,9,2519.0
Andressa DE MORAIS,lanzamiento de disco,Torneo de Ireland,6,7186.0,Torneo de Belarus,7,7895.0
Joshua CHEPTEGEI,carrera 10000 m,Torneo de South Africa,1,1766586.0,Torneo de Thailand,1,1609174.0
Emmanuel Kipkurui KORIR,carrera 400 m,Torneo de Madagascar,1,47765.0,Torneo de Kiribati,1,43498.0
Ernest John OBIENA,salto con pertiga,Torneo de Indonesia,8,606.0,Torneo de Trinidad and Tobago,1,667.0
Birhanu BALEW,carrera 5000 m,Torneo de Fiji,1,849170.0,Torneo de Ecuador,1,772110.0
Hleb DUDARAU,lanzamiento de martillo,Torneo de Comoros,6,8178.0,Torneo de El Salvador,9,8988.0
Lijiao GONG,lanzamiento de bala,Torneo de Saint Lucia,8,2291.0,Torneo de Czechia,4,2521.0
Luis Enrique ZAYAS,salto de altura,Torneo de Benin,9,237.0,Torneo de Uruguay,10,261.0
Abderrahman SAMBA,carrera 400 m,Torneo de Taiwan,1,47769.0,Torneo de Estonia,1,43477.0
Konstanze KLOSTERHALFEN,carrera 1500 m,Torneo de Sierra Leone,1,229463.0,Torneo de Burundi,1,208796.0
Queen CLAYE,carrera 110 m con vallas,Torneo de Jamaica,1,13295.0,Torneo de Djibouti,1,12098.0
Darya NIDBAYKINA,salto triple,Torneo de Turkey,3,1814.0,Torneo de Sweden,4,1996.0
Jessica RAMSEY,lanzamiento de bala,Torneo de Micronesia,6,2292.0,Torneo de Egypt,10,2519.0
Nikki HILTZ,carrera 1500 m,Torneo de Comoros,1,229633.0,Torneo de Lesotho,1,208920.0
Wilhem BELOCIAN,carrera 110 m con vallas,Torneo de Cabo Verde,1,13302.0,Torneo de Vietnam,1,12112.0
Jemal Yimer MEKONNEN,carrera 10000 m,Torneo de El Salvador,1,1768818.0,Torneo de Australia,1,1610950.0
Mekides ABEBE,carrera 3000 m con vallas,Torneo de Bolivia,1,529087.0,Torneo de Saint Vincent and the Grenadines,1,481379.0
Sisay LEMMA,carrera 42000 m,Torneo de Kiribati,1,8023521.0,Torneo de Peru,1,7309275.0
Elizabeth GLEADLE,lanzamiento de jabalina,Torneo de Benin,8,9063.0,Torneo de Ecuador,8,9966.0
Abebe Negewo DEGEFA,carrera 42000 m,Torneo de Andorra,1,8030767.0,Torneo de Congo Republic of the,1,7311718.0
Antonio ALKANA,carrera 110 m con vallas,Torneo de Papua New Guinea,1,13307.0,Torneo de Romania,1,12099.0
Yaroslava MAHUCHIKH,salto de altura,Torneo de Belarus,3,237.0,Torneo de Zimbabwe,2,261.0
Jordan Alejandro D�AZ FORTUN,salto triple,Torneo de Fiji,1,1815.0,Torneo de Norway,1,1996.0
Filip INGEBRIGTSEN,carrera 1500 m,Torneo de Somalia,1,229448.0,Torneo de Bosnia and Herzegovina,1,208778.0
Marike STEINACKER,lanzamiento de disco,Torneo de Indonesia,10,7192.0,Torneo de Sweden,4,7892.0
Mar�a Fernanda MURILLO,salto de altura,Torneo de Benin,4,237.0,Torneo de Turkey,5,261.0
Yomif KEJELCHA,carrera 21000 m,Torneo de Cyprus,1,3828454.0,Torneo de Wales,1,3481810.0
Michael CHERRY,carrera 400 m,Torneo de Congo Republic of the,1,47788.0,Torneo de Equatorial Guinea,1,43454.0
Raphael HOLZDEPPE,salto con pertiga,Torneo de Denmark,1,606.0,Torneo de Venezuela,2,667.0
Oliver HELANDER,lanzamiento de jabalina,Torneo de Guinea-Bissau,7,9067.0,Torneo de Slovakia,8,9956.0
Eilish MCCOLGAN,carrera 5000 m,Torneo de Brunei,1,848915.0,Torneo de Samoa,1,772270.0
Denis LUKYANOV,lanzamiento de martillo,Torneo de Burkina Faso,6,8180.0,Torneo de Uganda,3,8980.0
Yelizaveta TSAREVA,lanzamiento de martillo,Torneo de Ukraine,2,8175.0,Torneo de Kazakhstan,9,8990.0
Laura MUIR,carrera 1500 m,Torneo de Liechtenstein,1,229591.0,Torneo de Italy,1,209050.0
Dharun AYYASAMY,carrera 400 m con vallas,Torneo de South Africa,1,50696.0,Torneo de Malawi,1,46102.0
Ashley SPENCER,carrera 400 m con vallas,Torneo de Iraq,1,50674.0,Torneo de France,1,46092.0
Alex WILSON,carrera 200 m,Torneo de Jamaica,1,21422.0,Torneo de Venezuela,1,19515.0
Magnus KIRT,lanzamiento de jabalina,Torneo de Nigeria,2,9065.0,Torneo de Finland,10,9958.0
Shaunae MILLER-UIBO,carrera 200 m,Torneo de Rwanda,1,21423.0,Torneo de Denmark,1,19501.0
Gudaf TSEGAY,carrera 1500 m,Torneo de Israel,1,229566.0,Torneo de Morocco,1,208792.0
Daisy JEPKEMEI,carrera 3000 m con vallas,Torneo de Guyana,1,528623.0,Torneo de Ecuador,1,481060.0
Eunice Jepkoech SUM,carrera 800 m,Torneo de Lebanon,1,112045.0,Torneo de Colombia,1,101915.0
Winnie NANYONDO,carrera 800 m,Torneo de Canada,1,111989.0,Torneo de South Korea,1,101899.0
Daniil TSYPLAKOV,salto de altura,Torneo de Armenia,3,237.0,Torneo de Venezuela,9,261.0
Paraskevi PAPACHRISTOU,salto triple,Torneo de Central African Republic,10,1814.0,Torneo de Indonesia,8,1996.0
Na LUO,lanzamiento de martillo,Torneo de China,6,8180.0,Torneo de Bahamas,1,8990.0
Janieve RUSSELL,carrera 400 m con vallas,Torneo de Marshall Islands,1,50684.0,Torneo de Taiwan,1,46208.0
Letesenbet GIDEY,carrera 10000 m,Torneo de Lebanon,1,1768785.0,Torneo de Liberia,1,1608326.0
Yekaterina KONEVA,salto triple,Torneo de Greece,9,1814.0,Torneo de Myanmar,7,1995.0
R�ka GYUR�TZ,lanzamiento de martillo,Torneo de Panama,1,8175.0,Torneo de Sri Lanka,6,8989.0
Nikita TRACEY,carrera 400 m con vallas,Torneo de Zambia,1,50617.0,Torneo de Ivory Coast,1,46153.0
yrgyzstan,1,481056
Beatrice CHEPKOECH,carrera 5000 m,Torneo de Dominican Republic,1,848797,Torneo de Ghana,1,772231
Bedan KAROKI,carrera 21000 m,Torneo de Rwanda,1,3827918,Torneo de Suriname,1,3483548
Ben BROEDERS,salto con pertiga,Torneo de Guyana,7,606,Torneo de Virgin Islands (British),5,667
Benard KIMELI,carrera 21000 m,Torneo de Congo Democratic Republic of the,1,3826137,Torneo de Indonesia,1,3485931
Bence HALÁSZ,lanzamiento de martillo,Torneo de Bangladesh,10,8174,Torneo de Argentina,9,8991
Benjamin KIGEN,carrera 3000 m con vallas,Torneo de Kazakhstan,1,528889,Torneo de Sweden,1,481168
Benjamin WILLIAMS,salto triple,Torneo de Marshall Islands,6,1815,Torneo de Guyana,10,1996
Berehanu TSEGU,carrera 10000 m,Torneo de Mauritius,1,1768547,Torneo de Belarus,1,1608306
Berehanu TSEGU,carrera 21000 m,Torneo de Finland,1,3828021,Torneo de Sri Lanka,1,3481292
Bernardo BALOYES,carrera 200 m,Torneo de Sao Tome and Principe,1,21440,Torneo de Guinea-Bissau,1,19522
Bernhard SEIFERT,lanzamiento de jabalina,Torneo de Guinea-Bissau,4,9062,Torneo de Portugal,8,9966
Beth DOBBIN,carrera 200 m,Torneo de Ethiopia,1,21429,Torneo de Saint Kitts and Nevis,1,19502
Bethwell BIRGEN,carrera 1500 m,Torneo de Argentina,1,229496,Torneo de United States,1,208797
Bin FENG,lanzamiento de disco,Torneo de Central African Republic,3,7191,Torneo de Rwanda,8,7905
Birhane DIBABA,carrera 21000 m,Torneo de Chile,1,3828892,Torneo de Guinea,1,3488790
Birhane DIBABA,carrera 42000 m,Torneo de Syria,1,8023527,Torneo de Gambia,1,7303234
Birhanu BALEW,carrera 5000 m,Torneo de Fiji,1,849170,Torneo de Ecuador,1,772110
Birhanu LEGESE,carrera 42000 m,Torneo de Australia,1,8023472,Torneo de Botswana,1,7303206
Blessing OKAGBARE,carrera 100 m,Torneo de Russia,1,10736,Torneo de Guinea-Bissau,1,9760
Blessing OKAGBARE,carrera 200 m,Torneo de Austria,1,21449,Torneo de Oman,1,19508
Bob BERTEMES,lanzamiento de bala,Torneo de Italy,3,2292,Torneo de United Arab Emirates,1,2521
Bohdan BONDARENKO,salto de altura,Torneo de Bahamas,8,237,Torneo de Ukraine,8,261
Brandon MCBRIDE,carrera 800 m,Torneo de Brazil,1,111994,Torneo de Grenada,1,102106
Briana WILLIAMS,carrera 100 m,Torneo de United Arab Emirates,1,10736,Torneo de Qatar,1,9762
Brianna MCNEAL,carrera 110 m con vallas,Torneo de Afghanistan,1,13293,Torneo de Iraq,1,12109
Brigid KOSGEI,carrera 21000 m,Torneo de Northern Ireland,1,3828074,Torneo de Vatican City,1,3482843
Brigid KOSGEI,carrera 42000 m,Torneo de Ireland,1,8026138,Torneo de Ethiopia,1,7305943
Britany ANDERSON,carrera 110 m con vallas,Torneo de Maldives,1,13297,Torneo de Antigua and Barbuda,1,12105
Brittany BROWN,carrera 200 m,Torneo de Costa Rica,1,21446,Torneo de Tonga,1,19508
Brittany CREW,lanzamiento de bala,Torneo de Qatar,7,2291,Torneo de Ivory Coast,8,2521
Brittney REESE,salto largo,Torneo de Gabon,7,869,Torneo de Burundi,9,956
Brooke ANDERSEN,lanzamiento de martillo,Torneo de Comoros,8,8177,Torneo de Mauritius,7,8990
Bryce HOPPEL,carrera 800 m,Torneo de Bulgaria,1,112070,Torneo de Tunisia,1,102083
Cambrea STURGIS,carrera 200 m,Torneo de Albania,1,21436,Torneo de Algeria,1,19506
Carina HORN,carrera 100 m,Torneo de Mauritius,1,10733,Torneo de Canada,1,9764
Caroline Chepkoech KIPKIRUI,carrera 21000 m,Torneo de Cuba,1,3825784,Torneo de North Korea,1,3481586
Caroline Chepkoech KIPKIRUI,carrera 5000 m,Torneo de Pakistan,1,849044,Torneo de Myanmar,1,772171
Cassandra TATE,carrera 400 m con vallas,Torneo de Cambodia,1,50675,Torneo de Indonesia,1,46113
Caster SEMENYA,carrera 800 m,Torneo de Costa Rica,1,112072,Torneo de Iran,1,102076
Caterine IBARGUEN,salto largo,Torneo de Togo,1,869,Torneo de Tanzania,10,956
Caterine IBARGUEN,salto triple,Torneo de Laos,1,1814,Torneo de Angola,7,1995
Catriona BISSET,carrera 800 m,Torneo de South Africa,1,112078,Torneo de Hungary,1,101954
Celliphine Chepteek CHESPOL,carrera 3000 m con vallas,Torneo de Ghana,1,529006,Torneo de Denmark,1,481266
Chala BEYO,carrera 3000 m con vallas,Torneo de Mozambique,1,529015,Torneo de Georgia,1,481040
Chanel BRISSETT,carrera 110 m con vallas,Torneo de Samoa,1,13303,Torneo de Virgin Islands (British),1,12107
Changzhou HUANG,salto largo,Torneo de Equatorial Guinea,9,870,Torneo de Puerto Rico,8,956
Chantel MALONE,salto largo,Torneo de Saint Vincent and the Grenadines,1,869,Torneo de Saint Kitts and Nevis,2,956
Chao-Tsun CHENG,lanzamiento de jabalina,Torneo de Equatorial Guinea,4,9063,Torneo de Syria,6,9968
Charlie DAVALL GRICE,carrera 1500 m,Torneo de Kiribati,1,229577,Torneo de Guatemala,1,208780
Chase EALEY,lanzamiento de bala,Torneo de Kazakhstan,5,2291,Torneo de Bahrain,5,2521
Chengetayi MAPAYA,salto triple,Torneo de Macedonia,7,1814,Torneo de Switzerland,9,1996
Chloe ABBOTT,carrera 400 m,Torneo de Colombia,1,47790,Torneo de Libya,1,43484
Chrisann GORDON,carrera 400 m,Torneo de Wales,1,47791,Torneo de Italy,1,43467
Christian COLEMAN,carrera 100 m,Torneo de Latvia,1,10726,Torneo de Philippines,1,9762
Christian COLEMAN,carrera 200 m,Torneo de North Korea,1,21449,Torneo de South Africa,1,19505
Christian TAYLOR,salto triple,Torneo de Oman,6,1815,Torneo de Slovenia,2,1994
Christin HUSSONG,lanzamiento de jabalina,Torneo de Lithuania,8,9065,Torneo de Eritrea,3,9966
Christina CLEMONS,carrera 110 m con vallas,Torneo de Uganda,1,13302,Torneo de France,1,12103
Christina SCHWANITZ,lanzamiento de bala,Torneo de Vatican City,2,2291,Torneo de United States,6,2520
Christine BOTLOGETSWE,carrera 400 m,Torneo de Cambodia,1,47791,Torneo de Australia,1,43471
Christoph HARTING,lanzamiento de disco,Torneo de Mexico,1,7187,Torneo de Norway,4,7905
Christopher NILSEN,salto con pertiga,Torneo de Azerbaijan,4,606,Torneo de Puerto Rico,10,667
Chukwuebuka ENEKWECHI,lanzamiento de bala,Torneo de Monaco,5,2292,Torneo de Benin,6,2521
Ciara MAGEEAN,carrera 1500 m,Torneo de Panama,1,229635,Torneo de Bhutan,1,209043
Clarence MUNYAI,carrera 200 m,Torneo de Zambia,1,21434,Torneo de Peru,1,19503
Claudine VITA,lanzamiento de disco,Torneo de India,3,7189,Torneo de Sudan,9,7905
Clayton MURPHY,carrera 800 m,Torneo de Nicaragua,1,112059,Torneo de Monaco,1,101925
Cole WALSH,salto con pertiga,Torneo de Djibouti,10,606,Torneo de Suriname,10,667
Colleen QUIGLEY,carrera 3000 m con vallas,Torneo de Botswana,1,529033,Torneo de Madagascar,1,481375
Collins KIPRUTO,carrera 800 m,Torneo de Rwanda,1,112056,Torneo de Czechia,1,101906
Conor MCCULLOUGH,lanzamiento de martillo,Torneo de Denmark,7,8181,Torneo de Venezuela,10,8988
Conseslus KIPRUTO,carrera 3000 m con vallas,Torneo de New Zealand,1,528674,Torneo de Italy,1,481433
Cornelius TUWEI,carrera 800 m,Torneo de Rwanda,1,112055,Torneo de San Marino,1,102008
Courtney FRERICHS,carrera 3000 m con vallas,Torneo de Switzerland,1,528970,Torneo de Solomon Islands,1,482244
Courtney OKOLO,carrera 400 m,Torneo de Cyprus,1,47791,Torneo de Iraq,1,43451
Cravon GILLESPIE,carrera 100 m,Torneo de Honduras,1,10731,Torneo de Barbados,1,9769
Cravon GILLESPIE,carrera 200 m,Torneo de Tonga,1,21438,Torneo de Kuwait,1,19517
Cristian NÁPOLES,salto triple,Torneo de Saint Lucia,9,1814,Torneo de Maldives,3,1996
Cyprian MRZYGŁÓD,lanzamiento de jabalina,Torneo de Brazil,4,9068,Torneo de Northern Ireland,3,9964
Dafne SCHIPPERS,carrera 100 m,Torneo de Cambodia,1,10734,Torneo de Congo Republic of the,1,9776
Dafne SCHIPPERS,carrera 200 m,Torneo de Dominican Republic,1,21444,Torneo de United Kingdom,1,19501
Daisy JEPKEMEI,carrera 3000 m con vallas,Torneo de Guyana,1,528623,Torneo de Ecuador,1,481060
Dalilah MUHAMMAD,carrera 400 m,Torneo de Timor-Leste,1,47786,Torneo de Malta,1,43467
Dalilah MUHAMMAD,carrera 400 m con vallas,Torneo de Libya,1,50646,Torneo de Cambodia,1,46135
Dani STEVENS,lanzamiento de disco,Torneo de Malta,5,7188,Torneo de Zimbabwe,10,7905
Daniel ROBERTS,carrera 110 m con vallas,Torneo de Malta,1,13283,Torneo de Georgia,1,12105
Daniel STÅHL,lanzamiento de disco,Torneo de Austria,8,7189,Torneo de Saint Kitts and Nevis,3,7905
Daniela STANCIU,salto de altura,Torneo de Australia,10,237,Torneo de Zimbabwe,6,261
Daniella HILL,lanzamiento de bala,Torneo de Saudi Arabia,6,2291,Torneo de Zimbabwe,10,2518
Danielle WILLIAMS,carrera 110 m con vallas,Torneo de Tunisia,1,13306,Torneo de Moldova,1,12100
Daniil TSYPLAKOV,salto de altura,Torneo de Armenia,3,237,Torneo de Venezuela,9,261
Danniel THOMAS-DODD,lanzamiento de bala,Torneo de Kuwait,6,2292,Torneo de Sweden,10,2521
Darlan ROMANI,lanzamiento de bala,Torneo de Ethiopia,8,2291,Torneo de Sri Lanka,8,2521
Darrell HILL,lanzamiento de bala,Torneo de Mauritania,3,2293,Torneo de French Guiana,4,2520
Darya KLISHINA,salto largo,Torneo de Latvia,2,869,Torneo de Albania,8,956
Darya NIDBAYKINA,salto triple,Torneo de Turkey,3,1814,Torneo de Sweden,4,1996
David KENDZIERA,carrera 400 m con vallas,Torneo de San Marino,1,50690,Torneo de Uruguay,1,46118
David WROBEL,lanzamiento de disco,Torneo de Iraq,5,7191,Torneo de Lithuania,5,7905
Dawit SEYAUM,carrera 1500 m,Torneo de Equatorial Guinea,1,229624,Torneo de Oman,1,208772
DeAnna PRICE,lanzamiento de martillo,Torneo de Malaysia,2,8176,Torneo de Grenada,3,8987
Degitu AZIMERAW,carrera 10000 m,Torneo de Sri Lanka,1,1768348,Torneo de Equatorial Guinea,1,1610703
Degitu AZIMERAW,carrera 21000 m,Torneo de Malawi,1,3825488,Torneo de Belarus,1,3482276
Degitu AZIMERAW,carrera 42000 m,Torneo de Malta,1,8030678,Torneo de Russia,1,7307624
Denia CABALLERO,lanzamiento de disco,Torneo de Switzerland,7,7187,Torneo de United States,5,7900
Denis LUKYANOV,lanzamiento de martillo,Torneo de Burkina Faso,6,8180,Torneo de Uganda,3,8980
Dera DIDA,carrera 10000 m,Torneo de Vatican City,1,1768566,Torneo de Montenegro,1,1609982
Devon ALLEN,carrera 110 m con vallas,Torneo de Timor-Leste,1,13304,Torneo de Micronesia,1,12105
Dezerea BRYANT,carrera 200 m,Torneo de Congo Republic of the,1,21426,Torneo de Cameroon,1,19532
Dharun AYYASAMY,carrera 400 m con vallas,Torneo de South Africa,1,50696,Torneo de Malawi,1,46102
Diana ZAGAINOVA,salto triple,Torneo de Cabo Verde,4,1816,Torneo de Malta,10,1996
Dibabe KUMA,carrera 21000 m,Torneo de Moldova,1,3825513,Torneo de Pakistan,1,3481578
Dimitriana SURDU,lanzamiento de bala,Torneo de Cameroon,1,2291,Torneo de Wales,1,2521
Dina ASHER-SMITH,carrera 100 m,Torneo de Finland,1,10728,Torneo de Congo Democratic Republic of the,1,9766
Dina ASHER-SMITH,carrera 200 m,Torneo de Kosovo,1,21441,Torneo de Jamaica,1,19507
Divine ODUDURU,carrera 100 m,Torneo de Central African Republic,1,10716,Torneo de Djibouti,1,9761
Divine ODUDURU,carrera 200 m,Torneo de El Salvador,1,21449,Torneo de Tonga,1,19503
Django LOVETT,salto de altura,Torneo de Azerbaijan,9,237,Torneo de Turkey,4,261
Djilali BEDRANI,carrera 3000 m con vallas,Torneo de Turkmenistan,1,528354,Torneo de Moldova,1,482078
Dmitriy SOROKIN,salto triple,Torneo de Ethiopia,4,1815,Torneo de Kenya,9,1996
Dmitriy TARABIN,lanzamiento de jabalina,Torneo de Andorra,2,9085,Torneo de Belize,6,9963
Donald SCOTT,salto triple,Torneo de Mozambique,7,1814,Torneo de Suriname,4,1995
Donavan BRAZIER,carrera 800 m,Torneo de Sudan,1,112075,Torneo de Malta,1,101977
Dorcas Jepchirchir TUITOEK,carrera 21000 m,Torneo de Virgin Islands (British),1,3827062,Torneo de Guinea-Bissau,1,3483042
Dzmitry NABOKAU,salto de altura,Torneo de El Salvador,2,237,Torneo de Uzbekistan,10,261
Eda TUĞSUZ,lanzamiento de jabalina,Torneo de Trinidad and Tobago,8,9071,Torneo de India,8,9965
Edis MATUSEVIČIUS,lanzamiento de jabalina,Torneo de Singapore,10,9067,Torneo de Jordan,7,9966
Eduardo RODRIGUES,carrera 110 m con vallas,Torneo de Nicaragua,1,13293,Torneo de Luxembourg,1,12100
Edward CHESEREK,carrera 5000 m,Torneo de Benin,1,849067,Torneo de Vietnam,1,772938
Edward Zakayo PINGUA,carrera 5000 m,Torneo de Bahamas,1,848817,Torneo de Saudi Arabia,1,772128
Edwin KIPTOO,carrera 21000 m,Torneo de Thailand,1,3827304,Torneo de Grenada,1,3484115
Ehsan HADADI,lanzamiento de disco,Torneo de Northern Ireland,7,7186,Torneo de Eritrea,1,7902
Eilish MCCOLGAN,carrera 1500 m,Torneo de Lithuania,1,229632,Torneo de Turkey,1,208821
Eilish MCCOLGAN,carrera 5000 m,Torneo de Brunei,1,848915,Torneo de Samoa,1,772270
Eivind HENRIKSEN,lanzamiento de martillo,Torneo de Kenya,8,8180,Torneo de Niger,6,8992
Elaine THOMPSON,carrera 100 m,Torneo de Monaco,1,10732,Torneo de Puerto Rico,1,9761
Elaine THOMPSON,carrera 200 m,Torneo de Luxembourg,1,21444,Torneo de Grenada,1,19500
Eldred HENRY,lanzamiento de bala,Torneo de Russia,7,2291,Torneo de Zimbabwe,2,2519
Elijah Motonei MANANGOI,carrera 1500 m,Torneo de French Guiana,1,229494,Torneo de Armenia,1,208951
Eliud KIPCHOGE,carrera 42000 m,Torneo de Senegal,1,8027660,Torneo de Albania,1,7306906
Eliza MCCARTNEY,salto con pertiga,Torneo de Czechia,6,606,Torneo de Denmark,4,667
Elizabeth GLEADLE,lanzamiento de jabalina,Torneo de Benin,8,9063,Torneo de Ecuador,8,9966
Ella JUNNILA,salto de altura,Torneo de Bahrain,8,237,Torneo de Saint Vincent and the Grenadines,1,261
Elvira HERMAN,carrera 110 m con vallas,Torneo de Niger,1,13305,Torneo de New Zealand,1,12105
Emily Cherotich TUEI,carrera 800 m,Torneo de Bahamas,1,112070,Torneo de Myanmar,1,101999
Emily GROVE,salto con pertiga,Torneo de Denmark,10,606,Torneo de Venezuela,2,667
Emily SISSON,carrera 10000 m,Torneo de Chad,1,1768556,Torneo de Hungary,1,1609185
Emma COBURN,carrera 3000 m con vallas,Torneo de Vietnam,1,528477,Torneo de Saint Lucia,1,481064
Emmanuel Kipkurui KORIR,carrera 400 m,Torneo de Madagascar,1,47765,Torneo de Kiribati,1,43498
Emmanuel Kipkurui KORIR,carrera 800 m,Torneo de Tuvalu,1,112026,Torneo de Japan,1,101910
Emmanuel SAINA,carrera 42000 m,Torneo de Laos,1,8030868,Torneo de Burundi,1,7304424
Erika KINSEY,salto de altura,Torneo de Algeria,1,237,Torneo de Uganda,5,261
Ernest John OBIENA,salto con pertiga,Torneo de Indonesia,8,606,Torneo de Trinidad and Tobago,1,667
Ese BRUME,salto largo,Torneo de Mauritius,3,869,Torneo de Libya,9,956
Eunice Jepkoech SUM,carrera 800 m,Torneo de Lebanon,1,112045,Torneo de Colombia,1,101915
Eva CHERONO,carrera 5000 m,Torneo de Haiti,1,848796,Torneo de Cyprus,1,772275
Evaline CHIRCHIR,carrera 21000 m,Torneo de Serbia,1,3823854,Torneo de Luxembourg,1,3481005
Evans CHEBET,carrera 42000 m,Torneo de Singapore,1,8024020,Torneo de Luxembourg,1,7313756
Faith KIPYEGON,carrera 1500 m,Torneo de Comoros,1,229641,Torneo de Finland,1,208809
Fanny ROOS,lanzamiento de bala,Torneo de Indonesia,8,2291,Torneo de Suriname,2,2521
Fantu WORKU,carrera 5000 m,Torneo de Syria,1,849255,Torneo de Qatar,1,772328
Fedrick DACRES,lanzamiento de disco,Torneo de Uzbekistan,1,7189,Torneo de Paraguay,4,7904
