nombre_torneo,nombre_especialidad,nombre_deportista,marca,intento
Torneo de Nigeria,carrera 400 m,Galefele MOROKO,43594,1
Torneo de Antigua and Barbuda,carrera 110 m con vallas,Britany ANDERSON,12105,1
Torneo de Antigua and Barbuda,carrera 110 m con vallas,Nadine VISSER,12158,1
Torneo de Antigua and Barbuda,carrera 110 m con vallas,Kendell WILLIAMS,12245,1
Torneo de Pakistan,carrera 400 m con vallas,Kori CARTER,46813,1
Torneo de Pakistan,carrera 400 m con vallas,Norman GRIMES,47022,1
Torneo de Pakistan,carrera 400 m con vallas,Rushell CLAYTON,47030,1
Torneo de Vietnam,carrera 200 m,Adam GEMILI,19528,1
Torneo de Vietnam,carrera 200 m,Cravon GILLESPIE,19590,1
Torneo de Vietnam,carrera 200 m,Andrew HUDSON,19600,1
Torneo de Sierra Leone,carrera 42000 m,Zeineba YIMER,7302065,1
Torneo de Sierra Leone,carrera 42000 m,Mule WASIHUN,7303410,1
Torneo de Sierra Leone,carrera 42000 m,Asefa MENGSTU,7349202,1
Torneo de Bosnia and Herzegovina,carrera 42000 m,Kenenisa BEKELE,7333540,1
Torneo de Bosnia and Herzegovina,carrera 42000 m,Mare DIBABA,7339829,1
Torneo de Bosnia and Herzegovina,carrera 42000 m,Mosinet GEREMEW,7340650,1
Torneo de Bolivia,carrera 21000 m,Seifu TURA,3486622,1
Torneo de Bolivia,carrera 21000 m,Birhane DIBABA,3496667,1
Torneo de Bolivia,carrera 21000 m,Morris Munene GACHAGA,3513941,1
Torneo de Saint Kitts and Nevis,carrera 400 m,Wadeline JONATHAS,43546,1
Torneo de Saint Kitts and Nevis,carrera 400 m,Fred KERLEY,43557,1
Torneo de Saint Kitts and Nevis,carrera 400 m,Emmanuel Kipkurui KORIR,43610,1
Torneo de Colombia,carrera 400 m con vallas,Zuzana HEJNOVÁ,46492,1
Torneo de Colombia,carrera 400 m con vallas,Abdelmalik LAHOULOU,46579,1
Torneo de Colombia,carrera 400 m con vallas,Nikita TRACEY,46739,1
Torneo de Grenada,carrera 400 m con vallas,TJ HOLMES,46381,1
Torneo de Grenada,carrera 400 m con vallas,Marcio TELES,46620,1
Torneo de Grenada,carrera 400 m con vallas,Abdelmalik LAHOULOU,46671,1
Torneo de Slovakia,carrera 100 m,Michael RODGERS,9777,1
Torneo de Slovakia,carrera 100 m,Blessing OKAGBARE,9796,1
Torneo de Slovakia,carrera 100 m,Reece PRESCOD,9801,1
Torneo de Bolivia,carrera 1500 m,Laura WEIGHTMAN,209297,1
Torneo de Bolivia,carrera 1500 m,Rabii DOUKKANA,209902,1
Torneo de Bolivia,carrera 1500 m,Ciara MAGEEAN,209995,1
Torneo de Tajikistan,carrera 400 m con vallas,Lea SPRUNGER,46143,1
Torneo de Tajikistan,carrera 400 m con vallas,Marcio TELES,46154,1
Torneo de Tajikistan,carrera 400 m con vallas,Shamier LITTLE,46190,1
Torneo de Chad,carrera 100 m,Murielle AHOURÉ,9776,1
Torneo de Chad,carrera 100 m,Akani SIMBINE,9788,1
Torneo de Chad,carrera 100 m,Tebogo MAMATHU,9822,1
Torneo de Senegal,carrera 110 m con vallas,Kendell WILLIAMS,12112,1
Torneo de Senegal,carrera 110 m con vallas,Janeek BROWN,12129,1
Torneo de Senegal,carrera 110 m con vallas,Daniel ROBERTS,12162,1
Torneo de Timor-Leste,carrera 400 m,Salwa Eid NASER,43492,1
Torneo de Timor-Leste,carrera 400 m,Michael CHERRY,43716,1
Torneo de Timor-Leste,carrera 400 m,Fred KERLEY,43976,1
Torneo de Sao Tome and Principe,carrera 400 m,Chloe ABBOTT,43524,1
Torneo de Sao Tome and Principe,carrera 400 m,Sydney MCLAUGHLIN,43698,1
Torneo de Sao Tome and Principe,carrera 400 m,Laviai NIELSEN,43702,1
Torneo de Latvia,carrera 100 m,Marie-Josée TA LOU,9760,1
Torneo de Latvia,carrera 100 m,ShaCarri RICHARDSON,9769,1
Torneo de Latvia,carrera 100 m,Andre DE GRASSE,9777,1
Torneo de Zambia,carrera 400 m,Akeem BLOOMFIELD,43479,1
Torneo de Zambia,carrera 400 m,Dalilah MUHAMMAD,43539,1
Torneo de Zambia,carrera 400 m,Galefele MOROKO,43669,1
Torneo de Niger,carrera 5000 m,Caroline Chepkoech KIPKIRUI,775684,1
Torneo de Niger,carrera 5000 m,Paul CHELIMO,779017,1
Torneo de Niger,carrera 5000 m,Mohammed AHMED,783045,1
Torneo de Canada,carrera 42000 m,Worknesh DEGEFA,7356721,1
Torneo de Canada,carrera 42000 m,Philemon RONO,7402793,1
Torneo de Canada,carrera 42000 m,Mosinet GEREMEW,7420804,1
Torneo de Malawi,carrera 3000 m con vallas,Mercy CHEPKURUI,481808,1
Torneo de Malawi,carrera 3000 m con vallas,Abraham KIBIWOT,481920,1
Torneo de Malawi,carrera 3000 m con vallas,Lamecha GIRMA,483673,1
Torneo de Madagascar,carrera 110 m con vallas,Andrea Carolina VARGAS,12127,1
Torneo de Madagascar,carrera 110 m con vallas,Daniel ROBERTS,12240,1
Torneo de Madagascar,carrera 110 m con vallas,Anna COCKRELL,12243,1
Torneo de Serbia,carrera 400 m con vallas,Amalie IUEL,46104,1
Torneo de Serbia,carrera 400 m con vallas,Sokwakhana ZAZINI,46121,1
Torneo de Serbia,carrera 400 m con vallas,Lindsay HANEKOM,46213,1
Torneo de Kazakhstan,carrera 400 m,Stephenie Ann MCPHERSON,43530,1
Torneo de Kazakhstan,carrera 400 m,Vernon NORWOOD,43617,1
Torneo de Kazakhstan,carrera 400 m,Aminatou SEYNI,43717,1
Torneo de Bulgaria,carrera 800 m,Eunice Jepkoech SUM,102652,1
Torneo de Bulgaria,carrera 800 m,Cornelius TUWEI,103069,1
Torneo de Bulgaria,carrera 800 m,Abubaker Haydar ABDALLA,103102,1
Torneo de Jamaica,carrera 21000 m,Lonah Chemtai SALPETER,3485228,1
Torneo de Jamaica,carrera 21000 m,Morris Munene GACHAGA,3486371,1
Torneo de Jamaica,carrera 21000 m,Benard KIMELI,3493551,1
Torneo de France,carrera 42000 m,Mosinet GEREMEW,7309526,1
Torneo de France,carrera 42000 m,Reuben Kiprop KIPYEGO,7323822,1
Torneo de France,carrera 42000 m,Zeineba YIMER,7348339,1
Torneo de Trinidad and Tobago,carrera 110 m con vallas,Pascal MARTINOT-LAGARDE,12123,1
Torneo de Trinidad and Tobago,carrera 110 m con vallas,Sally PEARSON,12171,1
Torneo de Trinidad and Tobago,carrera 110 m con vallas,Andrea Carolina VARGAS,12174,1
Torneo de Canada,carrera 400 m con vallas,Sydney MCLAUGHLIN,46131,1
Torneo de Canada,carrera 400 m con vallas,Rushell CLAYTON,46172,1
Torneo de Canada,carrera 400 m con vallas,Shamier LITTLE,46225,1
Torneo de Ecuador,carrera 21000 m,Seifu TURA,3495447,1
Torneo de Ecuador,carrera 21000 m,Lonah Chemtai SALPETER,3499933,1
Torneo de Ecuador,carrera 21000 m,Yomif KEJELCHA,3501323,1
Torneo de Madagascar,carrera 21000 m,Sifan HASSAN,3482939,1
Torneo de Madagascar,carrera 21000 m,Tsehay GEMECHU,3492043,1
Torneo de Madagascar,carrera 21000 m,Andamlak BELIHU,3515541,1
Torneo de Barbados,carrera 800 m,Ayanleh SOULEIMAN,101918,1
Torneo de Barbados,carrera 800 m,Marco AROP,101952,1
Torneo de Barbados,carrera 800 m,Hanna GREEN,102258,1
Torneo de Bangladesh,carrera 3000 m con vallas,Beatrice CHEPKOECH,481323,1
Torneo de Bangladesh,carrera 3000 m con vallas,Hillary BOR,485479,1
Torneo de Bangladesh,carrera 3000 m con vallas,Peruth CHEMUTAI,485563,1
Torneo de Mauritania,carrera 400 m con vallas,Kemar MOWATT,46210,1
Torneo de Mauritania,carrera 400 m con vallas,Lea SPRUNGER,46344,1
Torneo de Mauritania,carrera 400 m con vallas,Marcio TELES,46348,1
Torneo de Chad,carrera 1500 m,Laura WEIGHTMAN,209606,1
Torneo de Chad,carrera 1500 m,Gudaf TSEGAY,210115,1
Torneo de Chad,carrera 1500 m,Elijah Motonei MANANGOI,210336,1
Torneo de France,carrera 10000 m,Gete ALEMAYEHU,1616674,1
Torneo de France,carrera 10000 m,Rhonex KIPRUTO,1619846,1
Torneo de France,carrera 10000 m,Degitu AZIMERAW,1620044,1
Torneo de Argentina,carrera 42000 m,Roza DEREJE,7339565,1
Torneo de Argentina,carrera 42000 m,Philemon RONO,7404805,1
Torneo de Argentina,carrera 42000 m,Kinde ATANAW,7406879,1
Torneo de Sri Lanka,carrera 3000 m con vallas,Hillary BOR,481777,1
Torneo de Sri Lanka,carrera 3000 m con vallas,Zita KÁCSER,485601,1
Torneo de Sri Lanka,carrera 3000 m con vallas,Barnabas KIPYEGO,485998,1
Torneo de Slovenia,carrera 3000 m con vallas,Maruša MIŠMAŠ,481348,1
Torneo de Slovenia,carrera 3000 m con vallas,Mercy WANJIRU,481686,1
Torneo de Slovenia,carrera 3000 m con vallas,Karoline Bjerkeli GRØVDAL,481864,1
Torneo de Turkmenistan,carrera 800 m,Wesley VÁZQUEZ,102067,1
Torneo de Turkmenistan,carrera 800 m,Clayton MURPHY,102434,1
Torneo de Turkmenistan,carrera 800 m,Michael SARUNI,102507,1
Torneo de Papua New Guinea,carrera 400 m con vallas,Rushell CLAYTON,46118,1
Torneo de Papua New Guinea,carrera 400 m con vallas,Rai BENJAMIN,46271,1
Torneo de Papua New Guinea,carrera 400 m con vallas,TJ HOLMES,46365,1
Torneo de Nepal,carrera 800 m,Natoya GOULE,103155,1
Torneo de Nepal,carrera 800 m,Marcin LEWANDOWSKI,103445,1
Torneo de Nepal,carrera 800 m,Brandon MCBRIDE,103706,1
Torneo de Kazakhstan,carrera 400 m con vallas,Patryk DOBEK,46106,1
Torneo de Kazakhstan,carrera 400 m con vallas,Shamier LITTLE,46113,1
Torneo de Kazakhstan,carrera 400 m con vallas,Lindsay HANEKOM,46167,1
Torneo de Peru,carrera 3000 m con vallas,Hyvin KIYENG,481397,1
Torneo de Peru,carrera 3000 m con vallas,Daisy JEPKEMEI,482311,1
Torneo de Peru,carrera 3000 m con vallas,Barnabas KIPYEGO,482461,1
Torneo de Kenya,carrera 110 m con vallas,Kendra HARRISON,12115,1
Torneo de Kenya,carrera 110 m con vallas,Nadine VISSER,12154,1
Torneo de Kenya,carrera 110 m con vallas,Kendell WILLIAMS,12169,1
Torneo de Antigua and Barbuda,carrera 400 m con vallas,Ashley SPENCER,46139,1
Torneo de Antigua and Barbuda,carrera 400 m con vallas,Lindsay HANEKOM,46301,1
Torneo de Antigua and Barbuda,carrera 400 m con vallas,Alison DOS SANTOS,46322,1
Torneo de Guinea-Bissau,carrera 200 m,Bernardo BALOYES,19522,1
Torneo de Guinea-Bissau,carrera 200 m,Kenneth BEDNAREK,19629,1
Torneo de Guinea-Bissau,carrera 200 m,Salwa Eid NASER,19714,1
Torneo de South Sudan,carrera 42000 m,Purity Cherotich RIONORIPO,7312070,1
Torneo de South Sudan,carrera 42000 m,Emmanuel SAINA,7350194,1
Torneo de South Sudan,carrera 42000 m,Azmera GEBRU,7392662,1
Torneo de Papua New Guinea,carrera 800 m,Wesley VÁZQUEZ,102359,1
Torneo de Papua New Guinea,carrera 800 m,Ayanleh SOULEIMAN,102512,1
Torneo de Papua New Guinea,carrera 800 m,Jackline WAMBUI,102518,1
Torneo de Bolivia,carrera 10000 m,Degitu AZIMERAW,1612332,1
Torneo de Bolivia,carrera 10000 m,Berehanu TSEGU,1613029,1
Torneo de Bolivia,carrera 10000 m,Girmawit GEBRZIHAIR,1618178,1
Torneo de Kuwait,carrera 5000 m,Fantu WORKU,774211,1
Torneo de Kuwait,carrera 5000 m,Selemon BAREGA,776075,1
Torneo de Kuwait,carrera 5000 m,Stanley Waithaka MBURU,776247,1
Torneo de Suriname,carrera 42000 m,Birhane DIBABA,7318493,1
Torneo de Suriname,carrera 42000 m,Herpasa NEGASA,7323494,1
Torneo de Suriname,carrera 42000 m,Zeineba YIMER,7353518,1
Torneo de United States,carrera 200 m,Beth DOBBIN,19560,1
Torneo de United States,carrera 200 m,Mujinga KAMBUNDJI,19600,1
Torneo de United States,carrera 200 m,Shelly-Ann FRASER-PRYCE,19635,1
Torneo de Thailand,carrera 42000 m,Birhanu LEGESE,7316353,1
Torneo de Thailand,carrera 42000 m,Marius KIPSEREM,7373816,1
Torneo de Thailand,carrera 42000 m,Valary JEMELI,7391107,1
Torneo de Moldova,carrera 1500 m,Konstanze KLOSTERHALFEN,208857,1
Torneo de Moldova,carrera 1500 m,Winny CHEBET,209313,1
Torneo de Moldova,carrera 1500 m,Samuel TEFERA,210893,1
Torneo de Liechtenstein,carrera 200 m,ShaCarri RICHARDSON,19539,1
Torneo de Liechtenstein,carrera 200 m,Abdul Hakim SANI BROWN,19549,1
Torneo de Liechtenstein,carrera 200 m,Christian COLEMAN,19591,1
Torneo de Kuwait,carrera 110 m con vallas,Ronald LEVY,12108,1
Torneo de Kuwait,carrera 110 m con vallas,Orlando ORTEGA,12109,1
Torneo de Kuwait,carrera 110 m con vallas,Britany ANDERSON,12110,1
Torneo de Germany,carrera 100 m,Jonielle SMITH,9763,1
Torneo de Germany,carrera 100 m,Yongli WEI,9820,1
Torneo de Germany,carrera 100 m,Teahna DANIELS,9856,1
Torneo de Dominican Republic,carrera 3000 m con vallas,Colleen QUIGLEY,482110,1
Torneo de Dominican Republic,carrera 3000 m con vallas,Nicholas Kiptanui BETT,483837,1
Torneo de Dominican Republic,carrera 3000 m con vallas,Albert CHEMUTAI,484082,1
Torneo de Australia,carrera 800 m,Nelly JEPKOSGEI,102150,1
Torneo de Australia,carrera 800 m,Francine NIYONSABA,102243,1
Torneo de Australia,carrera 800 m,Jonathan KITILIT,102281,1
Torneo de Nauru,carrera 42000 m,Herpasa NEGASA,7401024,1
Torneo de Nauru,carrera 42000 m,Kenenisa BEKELE,7423659,1
Torneo de Nauru,carrera 42000 m,Roza DEREJE,7435379,1
Torneo de Ethiopia,carrera 400 m con vallas,Kemar MOWATT,46673,1
Torneo de Ethiopia,carrera 400 m con vallas,Quincy HALL,46895,1
Torneo de Ethiopia,carrera 400 m con vallas,Kori CARTER,46896,1
Torneo de United Kingdom,carrera 100 m,Tynia GAITHER,9779,1
Torneo de United Kingdom,carrera 100 m,Yohan BLAKE,9796,1
Torneo de United Kingdom,carrera 100 m,Yuki KOIKE,9829,1
Torneo de Norway,carrera 110 m con vallas,Nadine VISSER,12102,1
Torneo de Norway,carrera 110 m con vallas,Orlando BENNETT,12111,1
Torneo de Norway,carrera 110 m con vallas,Andrew RILEY,12186,1
Torneo de Bolivia,carrera 800 m,Winnie NANYONDO,102116,1
Torneo de Bolivia,carrera 800 m,Bryce HOPPEL,102291,1
Torneo de Bolivia,carrera 800 m,Kate GRACE,102851,1
Torneo de Taiwan,carrera 5000 m,Lilian Kasait RENGERUK,773912,1
Torneo de Taiwan,carrera 5000 m,Tsehay GEMECHU,775489,1
Torneo de Taiwan,carrera 5000 m,Selemon BAREGA,776446,1
Torneo de Liberia,carrera 100 m,Noah LYLES,9764,1
Torneo de Liberia,carrera 100 m,Justin GATLIN,9766,1
Torneo de Liberia,carrera 100 m,Tebogo MAMATHU,9773,1
Torneo de Cuba,carrera 3000 m con vallas,Peruth CHEMUTAI,483608,1
Torneo de Cuba,carrera 3000 m con vallas,Mekides ABEBE,483992,1
Torneo de Cuba,carrera 3000 m con vallas,Beatrice CHEPKOECH,486210,1
Torneo de Japan,carrera 10000 m,Berehanu TSEGU,1613376,1
Torneo de Japan,carrera 10000 m,Rhonex KIPRUTO,1614981,1
Torneo de Japan,carrera 10000 m,Netsanet GUDETA,1616988,1
Torneo de Kyrgyzstan,carrera 3000 m con vallas,Beatrice CHEPKOECH,481056,1
Torneo de Kyrgyzstan,carrera 3000 m con vallas,Mohamed TINDOUFT,481061,1
Torneo de Kyrgyzstan,carrera 3000 m con vallas,Peruth CHEMUTAI,482800,1
Torneo de Indonesia,carrera 3000 m con vallas,Getnet WALE,481631,1
Torneo de Indonesia,carrera 3000 m con vallas,Djilali BEDRANI,483204,1
Torneo de Indonesia,carrera 3000 m con vallas,Colleen QUIGLEY,484573,1
Torneo de Georgia,carrera 400 m,Dalilah MUHAMMAD,43606,1
Torneo de Georgia,carrera 400 m,Rai BENJAMIN,43707,1
Torneo de Georgia,carrera 400 m,Abderrahman SAMBA,43804,1
Torneo de Malta,carrera 200 m,Marie-Josée TA LOU,19521,1
Torneo de Malta,carrera 200 m,Bernardo BALOYES,19628,1
Torneo de Malta,carrera 200 m,Blessing OKAGBARE,19642,1
Torneo de Kosovo,carrera 100 m,Kayla WHITE,9774,1
Torneo de Kosovo,carrera 100 m,Mujinga KAMBUNDJI,9838,1
Torneo de Kosovo,carrera 100 m,Yuki KOIKE,9892,1
Torneo de Turkmenistan,carrera 100 m,Divine ODUDURU,9770,1
Torneo de Turkmenistan,carrera 100 m,Reece PRESCOD,9779,1
Torneo de Turkmenistan,carrera 100 m,Yohan BLAKE,9795,1
Torneo de Denmark,carrera 5000 m,Gabriela DEBUES-STAFFORD,773042,1
Torneo de Denmark,carrera 5000 m,Karoline Bjerkeli GRØVDAL,773314,1
Torneo de Denmark,carrera 5000 m,Solomon BERIHU,774569,1
Torneo de Armenia,carrera 21000 m,Sifan HASSAN,3486741,1
Torneo de Armenia,carrera 21000 m,Alemu MEGERTU,3489744,1
Torneo de Armenia,carrera 21000 m,Benard KIMELI,3497462,1
Torneo de Micronesia,carrera 400 m con vallas,Kyron MCMASTER,46205,1
Torneo de Micronesia,carrera 400 m con vallas,Abderrahman SAMBA,46329,1
Torneo de Micronesia,carrera 400 m con vallas,Ludvy VAILLANT,46362,1
Torneo de Mauritania,carrera 800 m,Ferguson Cheruiyot ROTICH,102277,1
Torneo de Mauritania,carrera 800 m,Caster SEMENYA,102442,1
Torneo de Mauritania,carrera 800 m,Rose Mary ALMANZA,103030,1
Torneo de Solomon Islands,carrera 42000 m,Mule WASIHUN,7320709,1
Torneo de Solomon Islands,carrera 42000 m,Herpasa NEGASA,7322228,1
Torneo de Solomon Islands,carrera 42000 m,Shura KITATA,7325250,1
Torneo de Paraguay,carrera 3000 m con vallas,Mercy WANJIRU,481283,1
Torneo de Paraguay,carrera 3000 m con vallas,Andrew BAYER,482690,1
Torneo de Paraguay,carrera 3000 m con vallas,Stanley Kipkoech KEBENEI,483216,1
Torneo de Tonga,carrera 400 m,Anastasia LE-ROY,43561,1
Torneo de Tonga,carrera 400 m,Salwa Eid NASER,43609,1
Torneo de Tonga,carrera 400 m,Kirani JAMES,43704,1
Torneo de North Korea,carrera 110 m con vallas,Tonea MARSHALL,12134,1
Torneo de North Korea,carrera 110 m con vallas,Kendell WILLIAMS,12150,1
Torneo de North Korea,carrera 110 m con vallas,Sergey SHUBENKOV,12156,1
Torneo de Austria,carrera 200 m,Kenneth BEDNAREK,19550,1
Torneo de Austria,carrera 200 m,Teahna DANIELS,19584,1
Torneo de Austria,carrera 200 m,Mario BURKE,19619,1
Torneo de Turkey,carrera 110 m con vallas,Anna COCKRELL,12112,1
Torneo de Turkey,carrera 110 m con vallas,Kendell WILLIAMS,12176,1
Torneo de Turkey,carrera 110 m con vallas,Sally PEARSON,12186,1
Torneo de Myanmar,carrera 3000 m con vallas,Norah JERUTO,481105,1
Torneo de Myanmar,carrera 3000 m con vallas,Hyvin KIYENG,481318,1
Torneo de Myanmar,carrera 3000 m con vallas,Genevieve GREGSON,483076,1
Torneo de Togo,carrera 110 m con vallas,Freddie CRITTENDEN,12105,1
Torneo de Togo,carrera 110 m con vallas,Grant HOLLOWAY,12114,1
Torneo de Togo,carrera 110 m con vallas,Gabriel CONSTANTINO,12143,1
Torneo de Papua New Guinea,carrera 400 m,Jonathan JONES,43455,1
Torneo de Papua New Guinea,carrera 400 m,Trevor STEWART,43586,1
Torneo de Papua New Guinea,carrera 400 m,Sydney MCLAUGHLIN,43690,1
Torneo de Japan,carrera 1500 m,Laura MUIR,209657,1
Torneo de Japan,carrera 1500 m,Abdelaati IGUIDER,210356,1
Torneo de Japan,carrera 1500 m,Samuel TEFERA,210746,1
Torneo de Somalia,carrera 400 m con vallas,Lauren WELLS,46216,1
Torneo de Somalia,carrera 400 m con vallas,Lea SPRUNGER,46336,1
Torneo de Somalia,carrera 400 m con vallas,Sara Slott PETERSEN,46427,1
Torneo de Uzbekistan,carrera 400 m con vallas,Norman GRIMES,46178,1
Torneo de Uzbekistan,carrera 400 m con vallas,Karsten WARHOLM,46226,1
Torneo de Uzbekistan,carrera 400 m con vallas,Kyron MCMASTER,46287,1
Torneo de Bosnia and Herzegovina,carrera 400 m,Kenneth BEDNAREK,43661,1
Torneo de Bosnia and Herzegovina,carrera 400 m,Emmanuel Kipkurui KORIR,43801,1
Torneo de Bosnia and Herzegovina,carrera 400 m,Wilbert LONDON,43903,1
Torneo de Tonga,carrera 400 m con vallas,Amere LATTIN,46142,1
Torneo de Tonga,carrera 400 m con vallas,Patryk DOBEK,46406,1
Torneo de Tonga,carrera 400 m con vallas,Alison DOS SANTOS,46415,1
Torneo de Panama,carrera 200 m,Amy HUNT,19532,1
Torneo de Panama,carrera 200 m,Beth DOBBIN,19556,1
Torneo de Panama,carrera 200 m,Ramil GULIYEV,19583,1
Torneo de Uzbekistan,carrera 21000 m,Seifu TURA,3491092,1
Torneo de Uzbekistan,carrera 21000 m,Senbere TEFERI,3499002,1
Torneo de Uzbekistan,carrera 21000 m,Leonard BARSOTON,3510758,1
Torneo de Trinidad and Tobago,carrera 3000 m con vallas,Matthew HUGHES,482345,1
Torneo de Trinidad and Tobago,carrera 3000 m con vallas,Colleen QUIGLEY,483509,1
Torneo de Trinidad and Tobago,carrera 3000 m con vallas,Maruša MIŠMAŠ,485468,1
Torneo de Netherlands,carrera 5000 m,Selemon BAREGA,777763,1
Torneo de Netherlands,carrera 5000 m,Fantu WORKU,778441,1
Torneo de Netherlands,carrera 5000 m,Gloriah KITE,778718,1
Torneo de Dominican Republic,carrera 400 m,​Demish GAYE,43500,1
Torneo de Dominican Republic,carrera 400 m,Nathan STROTHER,43679,1
Torneo de Dominican Republic,carrera 400 m,Kendall ELLIS,43698,1
Torneo de Malawi,carrera 42000 m,Workenesh EDESA,7314260,1
Torneo de Malawi,carrera 42000 m,Purity Cherotich RIONORIPO,7320832,1
Torneo de Malawi,carrera 42000 m,Vivian J. CHERUIYOT,7323538,1
Torneo de Guyana,carrera 1500 m,Josh KERR,210606,1
Torneo de Guyana,carrera 1500 m,Gudaf TSEGAY,210875,1
Torneo de Guyana,carrera 1500 m,Nikki HILTZ,210935,1
