nombre_deportista,nombre_especialidad,mejor_marca,intento,nombre_torneo
Sokwakhana ZAZINI,carrera 400 m con vallas,46121,1,Torneo de Serbia
Sokwakhana ZAZINI,carrera 400 m con vallas,50623,1,Torneo de Suriname
George Meitamei MANANGOI,carrera 1500 m,208809,1,Torneo de Albania
George Meitamei MANANGOI,carrera 1500 m,229624,1,Torneo de Panama
Senbere TEFERI,carrera 10000 m,1608244,1,Torneo de Guyana
Senbere TEFERI,carrera 10000 m,1768606,1,Torneo de Tanzania
Eilish MCCOLGAN,carrera 1500 m,208821,1,Torneo de Turkey
Eilish MCCOLGAN,carrera 1500 m,229632,1,Torneo de Lithuania
Yongli WEI,carrera 100 m,9779,1,Torneo de Mongolia
Yongli WEI,carrera 100 m,10718,1,Torneo de Costa Rica
Soufiane EL BAKKALI,carrera 3000 m con vallas,481711,1,Torneo de Marshall Islands
Soufiane EL BAKKALI,carrera 3000 m con vallas,529036,1,Torneo de Germany
Anna COCKRELL,carrera 110 m con vallas,12098,1,Torneo de Tunisia
Anna COCKRELL,carrera 110 m con vallas,13301,1,Torneo de Uzbekistan
Ashete BEKERE,carrera 42000 m,7304332,1,Torneo de Cabo Verde
Ashete BEKERE,carrera 42000 m,8027313,1,Torneo de Netherlands
Ludvy VAILLANT,carrera 400 m con vallas,46118,1,Torneo de Vietnam
Ludvy VAILLANT,carrera 400 m con vallas,50697,1,Torneo de Gambia
Nia ALI,carrera 110 m con vallas,12102,1,Torneo de Papua New Guinea
Nia ALI,carrera 110 m con vallas,13305,1,Torneo de Vanuatu
Abdallah Kibet MANDE,carrera 10000 m,1608063,1,Torneo de Luxembourg
Abdallah Kibet MANDE,carrera 10000 m,1768314,1,Torneo de Netherlands
Michael CHERRY,carrera 400 m,43454,1,Torneo de Equatorial Guinea
Michael CHERRY,carrera 400 m,47788,1,Torneo de Congo Republic of the
Stephanie TWELL,carrera 10000 m,1610159,1,Torneo de Morocco
Stephanie TWELL,carrera 10000 m,1766905,1,Torneo de Vatican City
Hanna GREEN,carrera 800 m,101928,1,Torneo de Georgia
Hanna GREEN,carrera 800 m,112020,1,Torneo de Timor-Leste
Purity Cherotich RIONORIPO,carrera 42000 m,7303553,1,Torneo de Germany
Purity Cherotich RIONORIPO,carrera 42000 m,8031054,1,Torneo de Chad
Brigid KOSGEI,carrera 42000 m,7305943,1,Torneo de Ethiopia
Brigid KOSGEI,carrera 42000 m,8026138,1,Torneo de Ireland
Laura WEIGHTMAN,carrera 1500 m,208792,1,Torneo de Mongolia
Laura WEIGHTMAN,carrera 1500 m,229613,1,Torneo de Chile
Britany ANDERSON,carrera 110 m con vallas,12105,1,Torneo de Antigua and Barbuda
Britany ANDERSON,carrera 110 m con vallas,13297,1,Torneo de Maldives
Yemaneberhan CRIPPA,carrera 10000 m,1609113,1,Torneo de Netherlands
Yemaneberhan CRIPPA,carrera 10000 m,1768515,1,Torneo de Mali
Mule WASIHUN,carrera 42000 m,7303410,1,Torneo de Sierra Leone
Mule WASIHUN,carrera 42000 m,8026576,1,Torneo de Cambodia
Ferguson Cheruiyot ROTICH,carrera 800 m,101918,1,Torneo de Netherlands
Ferguson Cheruiyot ROTICH,carrera 800 m,112019,1,Torneo de Virgin Islands (British)
Payton CHADWICK,carrera 110 m con vallas,12098,1,Torneo de Tonga
Payton CHADWICK,carrera 110 m con vallas,13305,1,Torneo de Eritrea
Eunice Jepkoech SUM,carrera 800 m,101915,1,Torneo de Colombia
Eunice Jepkoech SUM,carrera 800 m,112045,1,Torneo de Lebanon
Charlie DAVALL GRICE,carrera 1500 m,208780,1,Torneo de Guatemala
Charlie DAVALL GRICE,carrera 1500 m,229577,1,Torneo de Kiribati
Ababel YESHANEH,carrera 42000 m,7304941,1,Torneo de Albania
Ababel YESHANEH,carrera 42000 m,8030474,1,Torneo de Lithuania
Michael RODGERS,carrera 100 m,9760,1,Torneo de Lebanon
Michael RODGERS,carrera 100 m,10733,1,Torneo de Uruguay
Muktar EDRIS,carrera 5000 m,773126,1,Torneo de Angola
Muktar EDRIS,carrera 5000 m,849223,1,Torneo de Estonia
Marcio TELES,carrera 400 m con vallas,46151,1,Torneo de Jamaica
Marcio TELES,carrera 400 m con vallas,50693,1,Torneo de United States
Bryce HOPPEL,carrera 800 m,102083,1,Torneo de Tunisia
Bryce HOPPEL,carrera 800 m,112070,1,Torneo de Bulgaria
Marielle HALL,carrera 10000 m,1608971,1,Torneo de Switzerland
Marielle HALL,carrera 10000 m,1766456,1,Torneo de Azerbaijan
Birhane DIBABA,carrera 21000 m,3488790,1,Torneo de Guinea
Birhane DIBABA,carrera 21000 m,3828892,1,Torneo de Chile
Hillary BOR,carrera 3000 m con vallas,481332,1,Torneo de French Guiana
Hillary BOR,carrera 3000 m con vallas,529108,1,Torneo de Bulgaria
Laviai NIELSEN,carrera 400 m,43466,1,Torneo de Kenya
Laviai NIELSEN,carrera 400 m,47793,1,Torneo de New Zealand
Norman GRIMES,carrera 400 m con vallas,46130,1,Torneo de Botswana
Norman GRIMES,carrera 400 m con vallas,50625,1,Torneo de Ivory Coast
Laura MUIR,carrera 800 m,101895,1,Torneo de Malawi
Laura MUIR,carrera 800 m,112043,1,Torneo de Pakistan
Djilali BEDRANI,carrera 3000 m con vallas,482078,1,Torneo de Moldova
Djilali BEDRANI,carrera 3000 m con vallas,528354,1,Torneo de Turkmenistan
Milan TRAJKOVIC,carrera 110 m con vallas,12106,1,Torneo de Namibia
Milan TRAJKOVIC,carrera 110 m con vallas,13301,1,Torneo de Kosovo
Alex QUIÑÓNEZ,carrera 200 m,19514,1,Torneo de Lebanon
Alex QUIÑÓNEZ,carrera 200 m,21446,1,Torneo de Solomon Islands
Jemal Yimer MEKONNEN,carrera 21000 m,3484446,1,Torneo de Saint Lucia
Jemal Yimer MEKONNEN,carrera 21000 m,3826906,1,Torneo de Sweden
Nelly JEPKOSGEI,carrera 800 m,101909,1,Torneo de China
Nelly JEPKOSGEI,carrera 800 m,112032,1,Torneo de Turkmenistan
Sage WATSON,carrera 400 m con vallas,46178,1,Torneo de Central African Republic
Sage WATSON,carrera 400 m con vallas,50699,1,Torneo de Kenya
Azmera ABREHA,carrera 42000 m,7311781,1,Torneo de Palau
Azmera ABREHA,carrera 42000 m,8029944,1,Torneo de Colombia
Megan TAPPER,carrera 110 m con vallas,12115,1,Torneo de Saint Lucia
Megan TAPPER,carrera 110 m con vallas,13302,1,Torneo de Wales
Herpasa NEGASA,carrera 42000 m,7304817,1,Torneo de Eritrea
Herpasa NEGASA,carrera 42000 m,8030853,1,Torneo de Tajikistan
Axumawit EMBAYE,carrera 1500 m,208867,1,Torneo de Mongolia
Axumawit EMBAYE,carrera 1500 m,229647,1,Torneo de Algeria
Rhonex KIPRUTO,carrera 10000 m,1608528,1,Torneo de Israel
Rhonex KIPRUTO,carrera 10000 m,1768742,1,Torneo de Gabon
Andrew BAYER,carrera 3000 m con vallas,481036,1,Torneo de New Zealand
Andrew BAYER,carrera 3000 m con vallas,529061,1,Torneo de Canada
Brandon MCBRIDE,carrera 800 m,102106,1,Torneo de Grenada
Brandon MCBRIDE,carrera 800 m,111994,1,Torneo de Brazil
Jake WIGHTMAN,carrera 1500 m,208828,1,Torneo de Bosnia and Herzegovina
Jake WIGHTMAN,carrera 1500 m,229574,1,Torneo de Taiwan
Tynia GAITHER,carrera 100 m,9760,1,Torneo de Kyrgyzstan
Tynia GAITHER,carrera 100 m,10735,1,Torneo de Dominican Republic
Queen CLAYE,carrera 110 m con vallas,12098,1,Torneo de Djibouti
Queen CLAYE,carrera 110 m con vallas,13295,1,Torneo de Jamaica
Filip INGEBRIGTSEN,carrera 1500 m,208778,1,Torneo de Bosnia and Herzegovina
Filip INGEBRIGTSEN,carrera 1500 m,229448,1,Torneo de Somalia
Lonah Chemtai SALPETER,carrera 42000 m,7310801,1,Torneo de Zimbabwe
Lonah Chemtai SALPETER,carrera 42000 m,8030831,1,Torneo de Haiti
Mercy WANJIRU,carrera 3000 m con vallas,481184,1,Torneo de Marshall Islands
Mercy WANJIRU,carrera 3000 m con vallas,529071,1,Torneo de Colombia
Zuzana HEJNOVÁ,carrera 400 m con vallas,46138,1,Torneo de Azerbaijan
Zuzana HEJNOVÁ,carrera 400 m con vallas,50693,1,Torneo de Dominican Republic
Collins KIPRUTO,carrera 800 m,101906,1,Torneo de Czechia
Collins KIPRUTO,carrera 800 m,112056,1,Torneo de Rwanda
Dalilah MUHAMMAD,carrera 400 m con vallas,46135,1,Torneo de Cambodia
Dalilah MUHAMMAD,carrera 400 m con vallas,50646,1,Torneo de Libya
Abderrahman SAMBA,carrera 400 m,43477,1,Torneo de Estonia
Abderrahman SAMBA,carrera 400 m,47769,1,Torneo de Taiwan
Daisy JEPKEMEI,carrera 3000 m con vallas,481060,1,Torneo de Ecuador
Daisy JEPKEMEI,carrera 3000 m con vallas,528623,1,Torneo de Guyana
Hellen OBIRI,carrera 5000 m,772409,1,Torneo de Nepal
Hellen OBIRI,carrera 5000 m,849204,1,Torneo de Nicaragua
Sarah MCDONALD,carrera 1500 m,208794,1,Torneo de Peru
Sarah MCDONALD,carrera 1500 m,229428,1,Torneo de Serbia
Danielle WILLIAMS,carrera 110 m con vallas,12100,1,Torneo de Moldova
Danielle WILLIAMS,carrera 110 m con vallas,13306,1,Torneo de Tunisia
Noah LYLES,carrera 200 m,19505,1,Torneo de Serbia
Noah LYLES,carrera 200 m,21444,1,Torneo de South Sudan
Kenneth BEDNAREK,carrera 200 m,19514,1,Torneo de Botswana
Kenneth BEDNAREK,carrera 200 m,21444,1,Torneo de Gambia
Titus EKIRU,carrera 42000 m,7303429,1,Torneo de Bahrain
Titus EKIRU,carrera 42000 m,8026434,1,Torneo de Luxembourg
Dalilah MUHAMMAD,carrera 400 m,43467,1,Torneo de Malta
Dalilah MUHAMMAD,carrera 400 m,47786,1,Torneo de Timor-Leste
Laura MUIR,carrera 1500 m,209050,1,Torneo de Italy
Laura MUIR,carrera 1500 m,229591,1,Torneo de Liechtenstein
Lawrence Kemboi KIPSANG,carrera 3000 m con vallas,481452,1,Torneo de Mauritania
Lawrence Kemboi KIPSANG,carrera 3000 m con vallas,528660,1,Torneo de Benin
Wilhem BELOCIAN,carrera 110 m con vallas,12112,1,Torneo de Vietnam
Wilhem BELOCIAN,carrera 110 m con vallas,13302,1,Torneo de Cabo Verde
Sifan HASSAN,carrera 1500 m,208771,1,Torneo de South Sudan
Sifan HASSAN,carrera 1500 m,229521,1,Torneo de Ghana
Dafne SCHIPPERS,carrera 200 m,19501,1,Torneo de United Kingdom
Dafne SCHIPPERS,carrera 200 m,21444,1,Torneo de Dominican Republic
Clarence MUNYAI,carrera 200 m,19503,1,Torneo de Peru
Clarence MUNYAI,carrera 200 m,21434,1,Torneo de Zambia
Dafne SCHIPPERS,carrera 100 m,9776,1,Torneo de Congo Republic of the
Dafne SCHIPPERS,carrera 100 m,10734,1,Torneo de Cambodia
Reece PRESCOD,carrera 100 m,9762,1,Torneo de Niger
Reece PRESCOD,carrera 100 m,10733,1,Torneo de Libya
Faith KIPYEGON,carrera 1500 m,208809,1,Torneo de Finland
Faith KIPYEGON,carrera 1500 m,229641,1,Torneo de Comoros
Yomif KEJELCHA,carrera 5000 m,772725,1,Torneo de Qatar
Yomif KEJELCHA,carrera 5000 m,848818,1,Torneo de United Kingdom
Trevor STEWART,carrera 400 m,43458,1,Torneo de Japan
Trevor STEWART,carrera 400 m,47783,1,Torneo de Russia
Mohamed TINDOUFT,carrera 3000 m con vallas,481061,1,Torneo de Kyrgyzstan
Mohamed TINDOUFT,carrera 3000 m con vallas,528938,1,Torneo de Suriname
Akeem BLOOMFIELD,carrera 400 m,43476,1,Torneo de Burkina Faso
Akeem BLOOMFIELD,carrera 400 m,47760,1,Torneo de Malaysia
Cravon GILLESPIE,carrera 100 m,9769,1,Torneo de Barbados
Cravon GILLESPIE,carrera 100 m,10731,1,Torneo de Honduras
Karoline Bjerkeli GRØVDAL,carrera 5000 m,772375,1,Torneo de Djibouti
Karoline Bjerkeli GRØVDAL,carrera 5000 m,849135,1,Torneo de Czechia
Orlando ORTEGA,carrera 110 m con vallas,12109,1,Torneo de Kuwait
Orlando ORTEGA,carrera 110 m con vallas,13304,1,Torneo de Jordan
Wadeline JONATHAS,carrera 400 m,43458,1,Torneo de Scotland
Wadeline JONATHAS,carrera 400 m,47795,1,Torneo de Sudan
Ruth CHEPNGETICH,carrera 42000 m,7308031,1,Torneo de Egypt
Ruth CHEPNGETICH,carrera 42000 m,8028469,1,Torneo de Nauru
Kinde ATANAW,carrera 42000 m,7301386,1,Torneo de Guyana
Kinde ATANAW,carrera 42000 m,8025039,1,Torneo de Lithuania
Jonielle SMITH,carrera 100 m,9763,1,Torneo de Germany
Jonielle SMITH,carrera 100 m,10734,1,Torneo de Lesotho
Joshua CHEPTEGEI,carrera 5000 m,772176,1,Torneo de Kyrgyzstan
Joshua CHEPTEGEI,carrera 5000 m,848785,1,Torneo de Puerto Rico
Cassandra TATE,carrera 400 m con vallas,46113,1,Torneo de Indonesia
Cassandra TATE,carrera 400 m con vallas,50675,1,Torneo de Cambodia
Francine NIYONSABA,carrera 800 m,101892,1,Torneo de Libya
Francine NIYONSABA,carrera 800 m,112075,1,Torneo de Serbia
Gladys CHERONO,carrera 42000 m,7309791,1,Torneo de Russia
Gladys CHERONO,carrera 42000 m,8029220,1,Torneo de Panama
Andrew POZZI,carrera 110 m con vallas,12104,1,Torneo de Nauru
Andrew POZZI,carrera 110 m con vallas,13306,1,Torneo de Ivory Coast
Divine ODUDURU,carrera 100 m,9761,1,Torneo de Djibouti
Divine ODUDURU,carrera 100 m,10716,1,Torneo de Central African Republic
Conseslus KIPRUTO,carrera 3000 m con vallas,481433,1,Torneo de Italy
Conseslus KIPRUTO,carrera 3000 m con vallas,528674,1,Torneo de New Zealand
Julien WANDERS,carrera 10000 m,1608920,1,Torneo de Pakistan
Julien WANDERS,carrera 10000 m,1767881,1,Torneo de Panama
Vincent KIBET,carrera 1500 m,208853,1,Torneo de Uganda
Vincent KIBET,carrera 1500 m,229496,1,Torneo de Cabo Verde
Dina ASHER-SMITH,carrera 200 m,19507,1,Torneo de Jamaica
Dina ASHER-SMITH,carrera 200 m,21441,1,Torneo de Kosovo
Leonard BARSOTON,carrera 21000 m,3484102,1,Torneo de Papua New Guinea
Leonard BARSOTON,carrera 21000 m,3827516,1,Torneo de Guatemala
Ivet LALOVA-COLLIO,carrera 200 m,19504,1,Torneo de Guinea
Ivet LALOVA-COLLIO,carrera 200 m,21446,1,Torneo de Marshall Islands
Mohammed AHMED,carrera 10000 m,1608242,1,Torneo de Cambodia
Mohammed AHMED,carrera 10000 m,1768340,1,Torneo de Central African Republic
Beatrice CHEPKOECH,carrera 5000 m,772231,1,Torneo de Ghana
Beatrice CHEPKOECH,carrera 5000 m,848797,1,Torneo de Dominican Republic
Gabriela DEBUES-STAFFORD,carrera 1500 m,208819,1,Torneo de Kuwait
Gabriela DEBUES-STAFFORD,carrera 1500 m,229437,1,Torneo de Bolivia
Aleia HOBBS,carrera 100 m,9760,1,Torneo de Namibia
Aleia HOBBS,carrera 100 m,10736,1,Torneo de Haiti
Mekides ABEBE,carrera 3000 m con vallas,481379,1,Torneo de Saint Vincent and the Grenadines
Mekides ABEBE,carrera 3000 m con vallas,529087,1,Torneo de Bolivia
Emmanuel SAINA,carrera 42000 m,7304424,1,Torneo de Burundi
Emmanuel SAINA,carrera 42000 m,8030868,1,Torneo de Laos
Elijah Motonei MANANGOI,carrera 1500 m,208951,1,Torneo de Armenia
Elijah Motonei MANANGOI,carrera 1500 m,229494,1,Torneo de French Guiana
Philemon RONO,carrera 42000 m,7304007,1,Torneo de Tonga
Philemon RONO,carrera 42000 m,8027625,1,Torneo de Sweden
Janieve RUSSELL,carrera 400 m con vallas,46208,1,Torneo de Taiwan
Janieve RUSSELL,carrera 400 m con vallas,50684,1,Torneo de Marshall Islands
Joan Chelimo MELLY,carrera 21000 m,3482666,1,Torneo de Nicaragua
Joan Chelimo MELLY,carrera 21000 m,3824795,1,Torneo de Saudi Arabia
Nicholas Kipkorir KIMELI,carrera 5000 m,772709,1,Torneo de Andorra
Nicholas Kipkorir KIMELI,carrera 5000 m,849023,1,Torneo de Austria
Gloriah KITE,carrera 5000 m,772318,1,Torneo de Algeria
Gloriah KITE,carrera 5000 m,849207,1,Torneo de Serbia
Edward Zakayo PINGUA,carrera 5000 m,772128,1,Torneo de Saudi Arabia
Edward Zakayo PINGUA,carrera 5000 m,848817,1,Torneo de Bahamas
Netsanet GUDETA,carrera 10000 m,1609354,1,Torneo de Argentina
Netsanet GUDETA,carrera 10000 m,1768375,1,Torneo de Monaco
Isiah YOUNG,carrera 100 m,9769,1,Torneo de Macedonia
Isiah YOUNG,carrera 100 m,10728,1,Torneo de Barbados
Konstanze KLOSTERHALFEN,carrera 1500 m,208796,1,Torneo de Burundi
Konstanze KLOSTERHALFEN,carrera 1500 m,229463,1,Torneo de Sierra Leone
Lindsay HANEKOM,carrera 400 m con vallas,46092,1,Torneo de Sudan
Lindsay HANEKOM,carrera 400 m con vallas,50699,1,Torneo de Jordan
Catriona BISSET,carrera 800 m,101954,1,Torneo de Hungary
Catriona BISSET,carrera 800 m,112078,1,Torneo de South Africa
Anna RYZHYKOVA,carrera 400 m con vallas,46101,1,Torneo de Georgia
Anna RYZHYKOVA,carrera 400 m con vallas,50656,1,Torneo de Benin
Alfred KIPKETER,carrera 800 m,101945,1,Torneo de Argentina
Alfred KIPKETER,carrera 800 m,112066,1,Torneo de Philippines
Kenneth BEDNAREK,carrera 400 m,43496,1,Torneo de Uzbekistan
Kenneth BEDNAREK,carrera 400 m,47784,1,Torneo de Taiwan
Ayomide FOLORUNSO,carrera 400 m con vallas,46199,1,Torneo de South Africa
Ayomide FOLORUNSO,carrera 400 m con vallas,50696,1,Torneo de Chad
Grant HOLLOWAY,carrera 110 m con vallas,12101,1,Torneo de Canada
Grant HOLLOWAY,carrera 110 m con vallas,13308,1,Torneo de Vanuatu
Josh KERR,carrera 1500 m,208786,1,Torneo de Finland
Josh KERR,carrera 1500 m,229632,1,Torneo de Azerbaijan
Twanisha TERRY,carrera 100 m,9769,1,Torneo de Scotland
Twanisha TERRY,carrera 100 m,10734,1,Torneo de Luxembourg
Telahun Haile BEKELE,carrera 5000 m,772121,1,Torneo de Samoa
Telahun Haile BEKELE,carrera 5000 m,849204,1,Torneo de Sierra Leone
Abdul Hakim SANI BROWN,carrera 100 m,9763,1,Torneo de Mali
Abdul Hakim SANI BROWN,carrera 100 m,10731,1,Torneo de Equatorial Guinea
Emily SISSON,carrera 10000 m,1609185,1,Torneo de Hungary
Emily SISSON,carrera 10000 m,1768556,1,Torneo de Chad
Jonathan JONES,carrera 400 m,43455,1,Torneo de Papua New Guinea
Jonathan JONES,carrera 400 m,47794,1,Torneo de Israel
Olha LYAKHOVA,carrera 800 m,101940,1,Torneo de Vatican City
Olha LYAKHOVA,carrera 800 m,111974,1,Torneo de Tunisia
Murielle AHOURÉ,carrera 100 m,9760,1,Torneo de United States
Murielle AHOURÉ,carrera 100 m,10736,1,Torneo de Sao Tome and Principe
Mosinet GEREMEW,carrera 42000 m,7308190,1,Torneo de Mongolia
Mosinet GEREMEW,carrera 42000 m,8024575,1,Torneo de Uzbekistan
Samuel TEFERA,carrera 1500 m,208888,1,Torneo de Malta
Samuel TEFERA,carrera 1500 m,229634,1,Torneo de Austria
Sydney MCLAUGHLIN,carrera 400 m con vallas,46095,1,Torneo de Jamaica
Sydney MCLAUGHLIN,carrera 400 m con vallas,50649,1,Torneo de Costa Rica
Abadi HADIS,carrera 10000 m,1608999,1,Torneo de Belgium
Abadi HADIS,carrera 10000 m,1767320,1,Torneo de South Sudan
Christine BOTLOGETSWE,carrera 400 m,43471,1,Torneo de Australia
Christine BOTLOGETSWE,carrera 400 m,47791,1,Torneo de Cambodia
Dera DIDA,carrera 10000 m,1609982,1,Torneo de Montenegro
Dera DIDA,carrera 10000 m,1768566,1,Torneo de Vatican City
Selemon BAREGA,carrera 10000 m,1608319,1,Torneo de Zambia
Selemon BAREGA,carrera 10000 m,1768601,1,Torneo de Azerbaijan
Galefele MOROKO,carrera 400 m,43452,1,Torneo de Czechia
Galefele MOROKO,carrera 400 m,47776,1,Torneo de Afghanistan
Winfred Mutile YAVI,carrera 3000 m con vallas,481479,1,Torneo de Nepal
Winfred Mutile YAVI,carrera 3000 m con vallas,528814,1,Torneo de Comoros
Eilish MCCOLGAN,carrera 5000 m,772270,1,Torneo de Samoa
Eilish MCCOLGAN,carrera 5000 m,848915,1,Torneo de Brunei
Kendell WILLIAMS,carrera 110 m con vallas,12100,1,Torneo de Vietnam
Kendell WILLIAMS,carrera 110 m con vallas,13304,1,Torneo de Palau
Wesley VÁZQUEZ,carrera 800 m,101895,1,Torneo de Germany
Wesley VÁZQUEZ,carrera 800 m,111997,1,Torneo de Poland
Yomif KEJELCHA,carrera 10000 m,1608123,1,Torneo de Seychelles
Yomif KEJELCHA,carrera 10000 m,1768131,1,Torneo de United States
Valary JEMELI,carrera 21000 m,3482183,1,Torneo de Uganda
Valary JEMELI,carrera 21000 m,3827475,1,Torneo de Belgium
Nijel AMOS,carrera 800 m,101977,1,Torneo de Canada
Nijel AMOS,carrera 800 m,112036,1,Torneo de Tajikistan
Elvira HERMAN,carrera 110 m con vallas,12105,1,Torneo de New Zealand
Elvira HERMAN,carrera 110 m con vallas,13305,1,Torneo de Niger
Raevyn ROGERS,carrera 800 m,101893,1,Torneo de Malaysia
Raevyn ROGERS,carrera 800 m,112038,1,Torneo de Bahamas
Courtney OKOLO,carrera 400 m,43451,1,Torneo de Iraq
Courtney OKOLO,carrera 400 m,47791,1,Torneo de Cyprus
Michael NORMAN,carrera 200 m,19521,1,Torneo de Finland
Michael NORMAN,carrera 200 m,21448,1,Torneo de Jamaica
Chrisann GORDON,carrera 400 m,43467,1,Torneo de Italy
Chrisann GORDON,carrera 400 m,47791,1,Torneo de Wales
​Demish GAYE,carrera 400 m,43500,1,Torneo de Dominican Republic
​Demish GAYE,carrera 400 m,47724,1,Torneo de Papua New Guinea
Marie-Josée TA LOU,carrera 200 m,19501,1,Torneo de Sudan
Marie-Josée TA LOU,carrera 200 m,21420,1,Torneo de Mauritius
Fernando CARRO,carrera 3000 m con vallas,481126,1,Torneo de French Guiana
Fernando CARRO,carrera 3000 m con vallas,528963,1,Torneo de Maldives
Abdelaati IGUIDER,carrera 1500 m,208795,1,Torneo de Papua New Guinea
Abdelaati IGUIDER,carrera 1500 m,229640,1,Torneo de Wales
Nadine VISSER,carrera 110 m con vallas,12100,1,Torneo de Saudi Arabia
Nadine VISSER,carrera 110 m con vallas,13307,1,Torneo de Venezuela
Ronald LEVY,carrera 110 m con vallas,12104,1,Torneo de Tunisia
Ronald LEVY,carrera 110 m con vallas,13305,1,Torneo de Oman
Freddie CRITTENDEN,carrera 110 m con vallas,12105,1,Torneo de Togo
Freddie CRITTENDEN,carrera 110 m con vallas,13287,1,Torneo de Trinidad and Tobago
Abubaker Haydar ABDALLA,carrera 800 m,101895,1,Torneo de Yemen
Abubaker Haydar ABDALLA,carrera 800 m,112075,1,Torneo de Colombia
Nikki HILTZ,carrera 1500 m,208920,1,Torneo de Virgin Islands (British)
Nikki HILTZ,carrera 1500 m,229633,1,Torneo de Comoros
Chanel BRISSETT,carrera 110 m con vallas,12107,1,Torneo de Virgin Islands (British)
